time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,eval/mean_reward,eval/mean_ep_length
46,94208,122.21,3.48,4241,22,0.01416015625,-0.9111064374446869,180,0.2,0.18889392912387848,0.42014540545642376,0.7452064752578735,9.390481864102185e-05,0.0022170292,0.00025,,
47,96256,123.56,3.65,4243,22,0.0343017578125,-0.9699400439858437,184,0.2,0.1430027335882187,0.30872601084411144,0.7899466753005981,-0.0016604359989287332,0.0022938,0.00025,,
48,98304,122.54,3.78,4244,23,0.0247802734375,-0.9290187917649746,188,0.2,0.1627771407365799,0.34200790524482727,0.7723026871681213,-0.0023299693129956722,0.002170124,0.00025,,
,100000,,,,,0.0328369140625,-0.9866658039391041,192,0.2,0.19677197933197021,0.36539594642817974,0.7365820407867432,-9.628818952478468e-05,0.005118964,0.00025,3.35,116.1
49,100352,123.2,3.84,3927,25,,,,,,,,,,,,
50,102400,124.25,3.9,3935,26,0.011474609375,-1.0517487339675426,196,0.2,0.1529339700937271,0.33512142300605774,0.7289766073226929,0.00043768597242888063,0.0024376297,0.00025,,
51,104448,124.17,3.88,3941,26,0.042236328125,-1.0405550487339497,200,0.2,0.17163416743278503,0.3612244687974453,0.7341078519821167,-0.00039472224307246506,0.0041005956,0.00025,,
52,106496,123.42,3.91,3947,26,0.021240234375,-0.9725223481655121,204,0.2,0.19936904311180115,0.41570689529180527,0.6656121015548706,-0.0020016608759760857,0.0029441598,0.00025,,
53,108544,121.38,3.88,3952,27,0.0765380859375,-1.1156652942299843,208,0.2,0.11128238588571548,0.31714381091296673,0.7520689964294434,-0.001322384166996926,0.0059262803,0.00025,,
54,110592,121.53,3.86,3959,27,0.0386962890625,-1.0797772854566574,212,0.2,0.13328148424625397,0.333435233682394,0.7362880706787109,-0.002697905234526843,0.0037648217,0.00025,,
55,112640,120.77,3.85,3965,28,0.030029296875,-1.0789261907339096,216,0.2,0.13798581063747406,0.3262583427131176,0.7639740705490112,-0.0027925146277993917,0.0033834935,0.00025,,
56,114688,120.83,3.87,3972,28,0.0186767578125,-1.0550421923398972,220,0.2,0.15385083854198456,0.35047392174601555,0.7952821254730225,-0.0021008004841860384,0.0027855425,0.00025,,
57,116736,121.1,3.87,3975,29,0.0155029296875,-1.044015046209097,224,0.2,0.09274964779615402,0.2147848941385746,0.854341447353363,-0.000527657219208777,0.0033428583,0.00025,,
58,118784,121.25,3.83,3981,29,0.0185546875,-0.9826230145990849,228,0.2,0.13947582244873047,0.31338874623179436,0.7820859551429749,-0.0009509959782008082,0.003087344,0.00025,,
59,120832,121.93,3.82,3988,30,0.0089111328125,-0.9841603897511959,232,0.2,0.170676127076149,0.3326515145599842,0.7807221412658691,-0.000825608498416841,0.0026439384,0.00025,,
60,122880,121.19,3.78,3990,30,0.0533447265625,-0.9085141271352768,236,0.2,0.11275143921375275,0.2862399695441127,0.7965902090072632,-0.003104419738519937,0.0061028264,0.00025,,
