time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
173,872,151552,74,0.0029524434,0.9729482531547546,913.77,0.114013671875,292,-1.6889346092939377,0.09786422857142857,-20.69,0.04242941737174988,-0.0016942185175139457,0.0002446605714285714,0.11152784549631178,,
176,872,153600,75,0.0028057676,0.9830606579780579,911.75,0.10009765625,296,-1.700904581695795,0.09783497142857144,-20.7,0.1795945167541504,-0.0021638423204421997,0.00024458742857142856,0.1199928808491677,,
178,872,155648,76,0.0015828516,0.9717217087745667,913.48,0.06982421875,300,-1.6840153932571411,0.09780571428571429,-20.7,0.061096981167793274,-0.0015690540167270228,0.0002445142857142857,0.19502501073293388,,
180,872,157696,77,0.0022096909,0.9798184037208557,911.35,0.065185546875,304,-1.6573106534779072,0.09777645714285715,-20.7,0.036724116653203964,-0.0018156373989768326,0.00024444114285714286,0.12303944281302392,,
183,871,159744,78,0.0028501009,0.9800774455070496,909.19,0.081298828125,308,-1.6450100280344486,0.0977472,-20.67,0.05790875852108002,-0.0005935397784924135,0.000244368,0.13239251961931586,,
185,871,161792,79,0.0020965463,0.9738172292709351,908.77,0.067626953125,312,-1.634210143238306,0.09771794285714286,-20.66,0.06424324214458466,-0.0009533164848107845,0.00024429485714285717,0.1330726775340736,,
187,871,163840,80,0.0012378956,0.9706242084503174,911.07,0.0552978515625,316,-1.6518700420856476,0.09768868571428573,-20.66,0.08610836416482925,-0.002041702507995069,0.0002442217142857143,0.22984055615961552,,
190,871,165888,81,0.0027363955,0.9706377387046814,915.62,0.1351318359375,320,-1.6302259713411331,0.09765942857142858,-20.59,0.07115288078784943,-0.0023409464556607418,0.0002441485714285714,0.18721038522198796,,
192,871,167936,82,0.0023678658,0.9780941605567932,920.68,0.081787109375,324,-1.6252142265439034,0.09763017142857144,-20.62,0.04987092316150665,-0.002541230627684854,0.0002440754285714286,0.14493510453030467,,
194,871,169984,83,0.0021893678,0.9764890670776367,919.48,0.060791015625,328,-1.6083126328885555,0.0976009142857143,-20.62,0.07732430100440979,-0.001763231834047474,0.00024400228571428573,0.14159385464154184,,
197,872,172032,84,0.0017081647,0.9799431562423706,913.42,0.06005859375,332,-1.5942990519106388,0.09757165714285715,-20.63,0.03996240347623825,-0.0011519719118950889,0.00024392914285714285,0.11730990814976394,,
