time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
96256,115.9,47,4371,3.45,22,0.621503472328186,0.1976284384727478,-0.0006377182726282626,-0.6365536265075207,0.2,0.0026160274,0.0068359375,0.00025,184,0.4028396476060152,,
98304,113.79,48,4370,3.37,22,0.705987811088562,0.1423378884792328,-0.0013968066778033972,-0.6365442201495171,0.2,0.0006121965,0.0074462890625,0.00025,188,0.33017932437360287,,
100000,,,,,,0.6002146005630493,0.2243509292602539,0.00011014228221029043,-0.6367385126650333,0.2,0.0030422024,0.037109375,0.00025,192,0.46674642711877823,3.5,110.6
100352,115.33,49,3984,3.43,25,,,,,,,,,,,,
102400,115.4,50,3987,3.44,25,0.6736094951629639,0.18312159180641174,-0.0018616591260069981,-0.6361314430832863,0.2,0.0067992834,0.054931640625,0.00025,196,0.3945674244314432,,
104448,115.09,51,4001,3.46,26,0.673287034034729,0.20695115625858307,-0.00031890516402199864,-0.6767896488308907,0.2,0.0030187431,0.0118408203125,0.00025,200,0.3923346381634474,,
106496,116.28,52,4012,3.67,26,0.6630527973175049,0.16554349660873413,-0.00405242876149714,-0.6587292179465294,0.2,0.0026470418,0.062744140625,0.00025,204,0.40209832042455673,,
108544,117.74,53,4020,3.8,26,0.6918094158172607,0.1390240639448166,-0.0026295068237232044,-0.6607196070253849,0.2,0.0034216745,0.03759765625,0.00025,208,0.30887826904654503,,
110592,121.06,54,4036,4.02,27,0.5600396394729614,0.17386694252490997,-0.0008421476231887937,-0.6643377132713795,0.2,0.001588594,0.009033203125,0.00025,212,0.3742552325129509,,
112640,120.65,55,4042,4.1,27,0.6019971966743469,0.1550111621618271,-0.004109717876417562,-0.6336311921477318,0.2,0.001955653,0.0111083984375,0.00025,216,0.37821573950350285,,
