rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/learning_rate,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
-177.06,39,3293,24,49.74,79872,152,0.0001,4142.188827514648,0.0469970703125,0.010603996,-0.0011912767658941448,-1.3413934409618378,2199.801513671875,0.2,0.026420891284942627,,
-157.68,40,3304,24,45.95,81920,156,0.0001,3783.162796020508,0.0296630859375,0.002565323,-0.0009620530472602695,-1.3283727169036865,2026.70556640625,0.2,0.011665046215057373,,
-181.08,41,3320,25,48.58,83968,160,0.0001,4414.738723754883,0.085205078125,0.014290035,-0.001008439197903499,-1.3323979452252388,2163.53369140625,0.2,0.027889788150787354,,
-197.51,42,3332,25,51.06,86016,164,0.0001,3246.822769165039,0.0621337890625,0.009320418,0.00138033481198363,-1.320915974676609,1606.6719970703125,0.2,0.02488034963607788,,
-187.17,43,3344,26,49.15,88064,168,0.0001,4587.60856628418,0.1617431640625,0.011731444,0.0008074026554822922,-1.3155249506235123,2040.1690673828125,0.2,0.021311938762664795,,
-193.16,44,3355,26,50.48,90112,172,0.0001,4047.287841796875,0.1055908203125,0.00919291,0.000511116610141471,-1.2853064611554146,2067.81982421875,0.2,0.01036137342453003,,
-211.53,45,3368,27,53.8,92160,176,0.0001,3516.2216186523438,0.158447265625,0.015616426,0.0001605855068191886,-1.281292386353016,1557.1610107421875,0.2,0.013497412204742432,,
-208.5,46,3378,27,54.34,94208,180,0.0001,3178.4580688476562,0.0277099609375,0.0029732164,0.00015726726269349456,-1.2962855845689774,1898.1025390625,0.2,0.04226195812225342,,
-204.14,47,3390,28,53.34,96256,184,0.0001,4221.045791625977,0.0657958984375,0.0060035526,-0.0003054423432331532,-1.2986347302794456,2080.509033203125,0.2,0.03207564353942871,,
-198.74,48,3400,28,52.75,98304,188,0.0001,3900.9677124023438,0.026611328125,0.010647564,-0.002398198688752018,-1.2732499465346336,1899.0933837890625,0.2,0.035490453243255615,,
,,,,,99968,192,0.0001,3281.0213623046875,0.043701171875,0.010637807,-0.0005423994443845004,-1.299335204064846,1550.4686279296875,0.2,0.04982084035873413,75.0,-300.0
-209.39,49,3277,30,53.72,100352,,,,,,,,,,,,
-162.65,50,3290,31,46.06,102400,196,0.0001,4348.891662597656,0.0404052734375,0.011483932,-0.0007715676911175251,-1.3166624009609222,2141.66650390625,0.2,0.04545408487319946,,
-153.47,51,3302,31,43.96,104448,200,0.0001,4978.412017822266,0.0592041015625,0.009629693,-0.005062212701886892,-1.3257141187787056,2212.191650390625,0.2,0.00628894567489624,,
-154.01,52,3312,32,43.69,106496,204,0.0001,5066.474639892578,0.012451171875,0.010954373,-0.0010677806858438998,-1.3110229521989822,2401.11669921875,0.2,0.04108196496963501,,
-158.9,53,3324,32,44.62,108544,208,0.0001,5469.649749755859,0.127685546875,0.008521178,-0.0016766568878665566,-1.3193040043115616,2831.882568359375,0.2,0.013663172721862793,,
-175.21,54,3335,33,46.95,110592,212,0.0001,4347.2679443359375,0.0738525390625,0.010614555,0.00013559876242652535,-1.3437124639749527,2035.0545654296875,0.2,0.02900785207748413,,
-154.61,55,3345,33,44.36,112640,216,0.0001,4152.200378417969,0.251953125,0.025655033,0.00396450943662785,-1.3503739386796951,2063.254150390625,0.2,0.04473143815994263,,
-140.91,56,3356,34,43.03,114688,220,0.0001,6147.535430908203,0.0711669921875,0.004461298,-9.693762694951147e-05,-1.354807861149311,2913.4912109375,0.2,0.0533718466758728,,
-167.69,57,3369,34,47.11,116736,224,0.0001,4608.940856933594,0.022705078125,0.0068687345,-0.0008072613272815943,-1.3149857744574547,2297.686767578125,0.2,0.05885976552963257,,
-162.75,58,3380,35,45.63,118784,228,0.0001,3917.8362884521484,0.0001220703125,0.0028330581,-0.00024325487902387977,-1.2722819596529007,1926.107177734375,0.2,0.05410689115524292,,
-171.63,59,3390,35,46.3,120832,232,0.0001,4275.2822265625,0.0531005859375,0.013638307,0.0015450803039129823,-1.3130528628826141,2279.49072265625,0.2,0.0636368989944458,,
-157.58,60,3398,36,43.94,122880,236,0.0001,4045.3856811523438,0.0,0.004538386,0.0001015221350826323,-1.320196993649006,1807.1787109375,0.2,0.05306762456893921,,
-160.08,61,3407,36,44.47,124928,240,0.0001,4879.356170654297,0.072021484375,0.013582509,-0.0027540000446606427,-1.355873093008995,2276.1240234375,0.2,0.09799349308013916,,
,,,,,124960,244,0.0001,4258.6119384765625,0.04736328125,0.0022797198,-0.0005493526696227491,-1.3290264457464218,1861.2366943359375,0.2,0.08095616102218628,59.5,-289.95
-154.96,62,3327,38,43.93,126976,,,,,,,,,,,,
-163.74,63,3335,38,45.38,129024,248,0.0001,5127.4901123046875,0.0711669921875,0.008786852,0.0012129369715694338,-1.360645666718483,2564.019775390625,0.2,0.11466431617736816,,
-166.39,64,3344,39,45.73,131072,252,0.0001,3820.9380950927734,0.03955078125,0.009868552,-0.0012481983576435596,-1.3184875547885895,1624.5364990234375,0.2,0.13743048906326294,,
-151.09,65,3352,39,42.88,133120,256,0.0001,4473.48518371582,0.0,0.0028413422,0.0003689971927087754,-1.3276530876755714,2157.30224609375,0.2,0.15302836894989014,,
-163.41,66,3360,40,44.92,135168,260,0.0001,4540.848236083984,0.0283203125,0.0076216925,-0.0013843019551131874,-1.3023593574762344,2482.351806640625,0.2,0.14274024963378906,,
-175.07,67,3367,40,46.24,137216,264,0.0001,3924.6714477539062,0.0350341796875,0.0034624739,0.0008239260350819677,-1.324696660041809,1950.7088623046875,0.2,0.20388126373291016,,
-142.59,68,3374,41,41.24,139264,268,0.0001,4121.727432250977,0.0660400390625,0.0076139094,-0.0027838488458655775,-1.3051794543862343,1938.9178466796875,0.2,0.2019866704940796,,
-159.29,69,3382,41,44.22,141312,272,0.0001,3950.8858642578125,0.072265625,0.010768499,-0.001841254997998476,-1.2919116020202637,1850.8658447265625,0.2,0.25326961278915405,,
-161.59,70,3388,42,45.12,143360,276,0.0001,3672.1444396972656,0.035400390625,0.00878777,-0.001364002557238564,-1.2862885519862175,1896.7049560546875,0.2,0.23905020952224731,,
-173.69,71,3395,42,46.93,145408,280,0.0001,4460.408660888672,0.0677490234375,0.0057138754,-0.0005726279341615736,-1.2788547053933144,2074.708984375,0.2,0.30863410234451294,,
-157.36,72,3402,43,44.25,147456,284,0.0001,2904.258514404297,0.0579833984375,0.007844107,-0.0003036643611267209,-1.2407143712043762,1295.7159423828125,0.2,0.184281587600708,,
