time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward,train/loss,train/learning_rate,train/n_updates
153,772.5,0.01,832,128124,-20.98,616,,,0.012808173894882202,0.0001,7030
155,772.5,0.01,830,128858,-20.98,620,,,0.026273956522345543,0.0001,7214
156,771.62,0.01,828,129598,-20.98,624,,,0.006649203598499298,0.0001,7399
157,771.01,0.01,825,130346,-20.98,628,,,0.0027253071311861277,0.0001,7586
159,772.07,0.01,823,131114,-20.97,632,,,0.019194576889276505,0.0001,7778
160,772.07,0.01,821,131846,-20.97,636,,,0.01926455646753311,0.0001,7961
161,771.47,0.01,819,132587,-20.97,640,,,0.019257521256804466,0.0001,8146
163,771.47,0.01,817,133328,-20.97,644,,,0.0048747132532298565,0.0001,8331
164,772.97,0.01,814,134101,-20.97,648,,,0.005798023194074631,0.0001,8525
165,773.16,0.01,812,134853,-20.97,652,,,0.014229666441679,0.0001,8713
167,772.22,0.01,810,135606,-20.97,656,,,0.011104399338364601,0.0001,8901
168,772.04,0.01,808,136367,-20.98,660,,,0.004098980687558651,0.0001,9091
170,773.4,0.01,806,137161,-20.97,664,,,0.005426950752735138,0.0001,9290
171,773.4,0.01,804,137904,-20.97,668,,,0.004552759695798159,0.0001,9475
172,774.74,0.01,802,138681,-20.96,672,,,0.010279908776283264,0.0001,9670
174,775.35,0.01,800,139439,-20.96,676,,,0.010192218236625195,0.0001,9859
175,775.97,0.01,798,140197,-20.96,680,,,0.026072021573781967,0.0001,10049
176,777.19,0.01,796,140969,-20.96,684,,,0.004319090396165848,0.0001,10242
178,777.19,0.01,794,141715,-20.96,688,,,0.0034526148810982704,0.0001,10428
179,777.98,0.01,792,142479,-20.95,692,,,0.015573548153042793,0.0001,10619
181,779.82,0.01,790,143264,-20.95,696,,,0.003455126192420721,0.0001,10815
182,779.2,0.01,789,144023,-20.95,700,,,0.006914033554494381,0.0001,11005
183,779.8,0.01,787,144780,-20.95,704,,,0.0071198223158717155,0.0001,11194
185,782.84,0.01,785,145605,-20.95,708,,,0.03325190395116806,0.0001,11401
186,783.6,0.01,783,146392,-20.96,712,,,0.019757049158215523,0.0001,11597
188,783.6,0.01,782,147173,-20.96,716,,,0.003487593727186322,0.0001,11793
189,784.2,0.01,780,147926,-20.96,720,,,0.006565115414559841,0.0001,11981
190,785.4,0.01,778,148702,-20.96,724,,,0.00791308842599392,0.0001,12175
192,789.24,0.01,777,149547,-20.95,728,,,0.004092762246727943,0.0001,12386
193,789.06,0.01,775,150316,-20.96,732,,,0.012622872367501259,0.0001,12578
