time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward
94208,-191.27,46,3420,45.9,27,2363.265625,-0.777263231575489,180,0.084228515625,0.0005563695449382067,0.0061069475,4663.161102294922,0.0033262968063354492,0.2,0.0001,,
96256,-163.85,47,3430,41.98,28,2303.194580078125,-0.7744963616132736,184,0.13232421875,0.0020989939221180975,0.007585392,4413.015075683594,0.007266223430633545,0.2,0.0001,,
98304,-137.66,48,3437,38.08,28,2661.5966796875,-0.9149634502828121,188,0.352294921875,0.003588885592762381,0.021798322,5413.244476318359,0.03069150447845459,0.2,0.0001,,
99968,,,,,,2770.890625,-0.8708425685763359,192,0.0611572265625,7.799515151418746e-05,0.004314336,5449.978302001953,0.03378725051879883,0.2,0.0001,63.7,-327.05
100352,-151.16,49,3323,40.28,30,,,,,,,,,,,,
102400,-168.45,50,3336,43.02,30,2353.46337890625,-0.9201367795467377,196,0.0113525390625,6.331040640361607e-05,0.002554269,4728.662658691406,0.01601719856262207,0.2,0.0001,,
104448,-156.79,51,3345,41.26,31,2525.341064453125,-0.9388672262430191,200,0.01171875,0.001862542558228597,0.0053392565,5073.150146484375,0.03516995906829834,0.2,0.0001,,
106496,-150.44,52,3354,40.24,31,2472.937255859375,-0.958649031817913,204,0.1055908203125,-0.00034722898271866143,0.0008336619,5122.942352294922,0.03283745050430298,0.2,0.0001,,
108544,-155.24,53,3365,40.96,32,2564.980224609375,-0.9584882073104382,208,0.0810546875,0.0001346619101241231,0.004522826,5216.264373779297,0.04533517360687256,0.2,0.0001,,
110592,-131.3,54,3372,37.49,32,2429.122314453125,-0.8812709376215935,212,0.1815185546875,0.007037647650577128,0.0020819993,5032.711669921875,0.048384130001068115,0.2,0.0001,,
112640,-105.27,55,3379,33.43,33,3573.9404296875,-0.9185736067593098,216,0.0634765625,0.004499346949160099,0.010942525,7010.111480712891,0.06341034173965454,0.2,0.0001,,
114688,-137.85,56,3388,38.08,33,2860.658935546875,-0.8054020181298256,220,0.0294189453125,0.0012043644674122334,0.0057605114,5465.9971923828125,0.09044021368026733,0.2,0.0001,,
116736,-160.57,57,3396,41.5,34,2424.148193359375,-0.8858344368636608,224,0.071044921875,0.002713937239605002,0.010653126,4940.331024169922,0.02380436658859253,0.2,0.0001,,
118784,-162.42,58,3404,42.04,34,2494.0498046875,-0.8971611671149731,228,0.1573486328125,0.0037760592822451144,0.02274661,4872.491302490234,0.04988151788711548,0.2,0.0001,,
120832,-160.97,59,3413,42.15,35,2707.448974609375,-0.9519523233175278,232,0.0341796875,0.0009653564193286002,0.0015686218,5463.752258300781,0.01829051971435547,0.2,0.0001,,
122880,-150.49,60,3419,40.72,35,2855.86572265625,-0.9761160537600517,236,0.0389404296875,0.0006399074336513877,0.0015409816,5360.373199462891,0.06684738397598267,0.2,0.0001,,
