time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
380,408,-20.72,87876,230,900.52,0.5650137999999998,0.0001,19468,0.008569756522774696,,
379,412,-20.71,88759,233,901.44,0.5606429499999999,0.0001,19689,0.007508443668484688,,
378,416,-20.71,89632,236,899.9,0.5563216000000004,0.0001,19907,0.015322456136345863,,
378,420,-20.72,90453,239,897.38,0.5522576499999994,0.0001,20113,0.015194866806268692,,
377,424,-20.72,91286,241,896.61,0.5481343000000001,0.0001,20321,0.006524099037051201,,
376,428,-20.73,92102,244,894.01,0.5440951000000005,0.0001,20525,0.01304228138178587,,
376,432,-20.72,92983,247,892.46,0.5397341499999999,0.0001,20745,0.006555578205734491,,
375,436,-20.72,93777,249,889.92,0.53580385,0.0001,20944,0.007065817713737488,,
374,440,-20.73,94668,252,890.93,0.5313934000000002,0.0001,21166,0.015513202175498009,,
373,444,-20.71,95544,255,891.28,0.5270571999999997,0.0001,21385,0.0052193510346114635,,
373,448,-20.7,96417,258,893.37,0.5227358500000001,0.0001,21604,0.027927517890930176,,
372,452,-20.69,97286,260,893.89,0.5184343000000001,0.0001,21821,0.007918285205960274,,
372,456,-20.68,98282,263,899.2,0.5135041,0.0001,22070,0.004518604837357998,,
371,460,-20.68,99176,266,899.14,0.5090788000000004,0.0001,22293,0.00981632899492979,,
,,,100000,,,0.5050049500000002,0.0001,22499,0.013674342073500156,811.95,-20.75
357,464,-20.67,100078,280,902.49,0.5046139000000006,0.0001,22519,0.023275230079889297,,
357,468,-20.66,100914,282,899.71,0.5004757000000003,0.0001,22728,0.007311976049095392,,
356,472,-20.68,101768,285,899.7,0.4962483999999997,0.0001,22941,0.009687804616987705,,
356,476,-20.67,102615,288,897.58,0.49205575000000057,0.0001,23153,0.013253962621092796,,
355,480,-20.67,103420,290,893.37,0.4880709999999997,0.0001,23354,0.012805001810193062,,
355,484,-20.67,104239,293,891.07,0.4840169500000002,0.0001,23559,0.006245926022529602,,
355,488,-20.67,105071,295,890.56,0.4798985500000005,0.0001,23767,0.005578912328928709,,
354,492,-20.63,106074,299,895.22,0.4749337,0.0001,24018,0.007217596285045147,,
354,496,-20.62,106961,301,896.18,0.47054304999999963,0.0001,24240,0.0026696790009737015,,
353,500,-20.6,107904,305,899.33,0.46587520000000004,0.0001,24475,0.0037803910672664642,,
353,504,-20.59,108791,307,897.53,0.46148454999999966,0.0001,24697,0.01165196392685175,,
353,508,-20.61,109679,310,894.74,0.4570889499999996,0.0001,24919,0.01320207305252552,,
352,512,-20.61,110545,313,894.06,0.4528022499999995,0.0001,25136,0.006353083997964859,,
352,516,-20.62,111360,315,891.71,0.4487680000000005,0.0001,25339,0.007131403312087059,,
352,520,-20.6,112273,318,895.39,0.4442486499999997,0.0001,25568,0.018546292558312416,,
351,524,-20.57,113215,321,899.37,0.43958574999999966,0.0001,25803,0.019508913159370422,,
351,528,-20.55,114156,324,904.24,0.4349278000000004,0.0001,26038,0.014005728997290134,,
351,532,-20.56,115000,327,903.27,0.4307500000000001,0.0001,26249,0.005576134193688631,,
351,536,-20.56,115812,329,903.49,0.42673059999999985,0.0001,26452,0.010076112113893032,,
350,540,-20.54,116684,332,902.84,0.42241419999999996,0.0001,26670,0.008888278156518936,,
350,544,-20.5,117669,335,907.18,0.41753845,0.0001,26917,0.008065825328230858,,
350,548,-20.49,118548,338,907.11,0.41318739999999954,0.0001,27136,0.015369239263236523,,
350,552,-20.51,119401,340,906.23,0.4089650499999996,0.0001,27350,0.009230225346982479,,
350,556,-20.52,120334,343,904.32,0.4043467000000003,0.0001,27583,0.013827476650476456,,
