time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/clip_range,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
5455872,6354,2664,858,-0.002040143692283891,0.647675633430481,-0.9959742333739996,0.2984619140625,0.07369571924209595,-9.39,5.522057142857142e-05,10652,3963.85,0.022088228571428573,0.16348026227205992,0.0006435868,,
5457920,6356,2665,858,-0.0026639222051016986,0.6041336059570312,-0.9812198840081692,0.272705078125,0.07409674674272537,-9.35,5.514742857142857e-05,10656,3969.98,0.02205897142857143,0.19821002567186952,0.0006123121,,
5459968,6358,2666,858,-0.0014389193092938513,0.6021451354026794,-0.9822611678391695,0.3121337890625,0.0836479663848877,-9.37,5.5074285714285715e-05,10660,3967.29,0.022029714285714288,0.21601109765470028,0.0010529774,,
5462016,6361,2667,858,-0.0023403252416756004,0.5557523965835571,-0.9697421416640282,0.27978515625,0.10909271240234375,-9.51,5.500114285714286e-05,10664,3950.66,0.022000457142857144,0.28352984273806214,0.0007140038,,
5464064,6363,2668,858,-0.002427503073704429,0.6186761856079102,-0.9801295958459377,0.2723388671875,0.08351033180952072,-9.56,5.492800000000001e-05,10668,3954.04,0.021971200000000003,0.21083281328901649,0.0007673804,,
5466112,6365,2669,858,-0.002575654594693333,0.7022764682769775,-0.9731420241296291,0.28173828125,0.0672476589679718,-9.49,5.485485714285715e-05,10672,3966.2,0.021941942857142863,0.1957350466400385,0.0006455075,,
5468160,6367,2670,858,-0.0026152181526413187,0.665178120136261,-0.9691967815160751,0.2635498046875,0.07975134998559952,-9.49,5.47817142857143e-05,10676,3959.69,0.02191268571428572,0.21004691626876593,0.00060036534,,
5470208,6369,2671,858,-0.001992968944250606,0.5287390947341919,-0.9743992108851671,0.3212890625,0.07689963281154633,-9.47,5.470857142857144e-05,10680,3955.52,0.021883428571428578,0.22575396671891212,0.0010315679,,
5472256,6371,2672,858,-0.0019401520548854023,0.6837076544761658,-0.9730611648410559,0.3082275390625,0.0647139772772789,-9.45,5.4635428571428584e-05,10684,3950.63,0.021854171428571434,0.1804712605662644,0.0008092767,,
5474304,6374,2673,858,-0.002077244658721611,0.5678471922874451,-0.963182769715786,0.2911376953125,0.07104174047708511,-9.45,5.45622857142857e-05,10688,3944.85,0.021824914285714283,0.2075312938541174,0.00083253346,,
5476352,6376,2674,858,-0.0018943784234579653,0.7030380964279175,-0.9677227586507797,0.298828125,0.06766214966773987,-9.26,5.448914285714285e-05,10692,3974.95,0.02179565714285714,0.17877637455239892,0.0007282564,,
5478400,6378,2675,858,-0.0025758968258742243,0.6000043749809265,-0.9721057191491127,0.301513671875,0.07223815470933914,-9.33,5.4415999999999995e-05,10696,3964.24,0.021766399999999998,0.1790748191997409,0.00080576993,,
5480448,6380,2676,858,-0.0021937014535069466,0.5879749059677124,-0.9538916908204556,0.2579345703125,0.07222919911146164,-9.2,5.434285714285714e-05,10700,3970.59,0.021737142857142858,0.1962264347821474,0.00058466184,,
