time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/n_updates
968,-20.63,199343,0.01,706,880.5,282,,,0.0001,0.013975109905004501,24835
,,200000,0.01,,,,987.65,-20.7,0.0001,0.011135665699839592,24999
972,-20.61,200326,0.01,690,883.9,290,,,0.0001,0.006955005694180727,25081
976,-20.61,201151,0.01,689,885.91,291,,,0.0001,0.018115146085619926,25287
980,-20.58,202100,0.01,689,891.42,293,,,0.0001,0.005074596963822842,25524
984,-20.57,203032,0.01,688,895.5,294,,,0.0001,0.017776910215616226,25757
988,-20.57,203972,0.01,687,899.19,296,,,0.0001,0.019734889268875122,25992
992,-20.55,204895,0.01,686,903.16,298,,,0.0001,0.01802212744951248,26223
996,-20.55,205813,0.01,685,905.57,300,,,0.0001,0.01669851876795292,26453
1000,-20.54,206727,0.01,685,909.45,301,,,0.0001,0.008401359431445599,26681
1004,-20.5,207674,0.01,684,912.27,303,,,0.0001,0.018270786851644516,26918
1008,-20.49,208796,0.01,683,924.33,305,,,0.0001,0.009679889306426048,27198
1012,-20.45,209798,0.01,682,934.34,307,,,0.0001,0.034100547432899475,27449
1016,-20.48,210653,0.01,682,931.52,308,,,0.0001,0.009571719914674759,27663
1020,-20.46,211636,0.01,681,938.27,310,,,0.0001,0.015224771574139595,27908
1024,-20.47,212525,0.01,680,939.8,312,,,0.0001,0.01528223417699337,28131
1028,-20.47,213434,0.01,680,941.73,313,,,0.0001,0.005557319149374962,28358
1032,-20.43,214369,0.01,679,944.81,315,,,0.0001,0.005323518067598343,28592
1036,-20.44,215330,0.01,678,948.26,317,,,0.0001,0.006262917537242174,28832
1040,-20.44,216342,0.01,678,952.82,318,,,0.0001,0.004615561105310917,29085
1044,-20.42,217388,0.01,677,960.27,320,,,0.0001,0.01393602043390274,29346
1048,-20.41,218357,0.01,677,964.84,322,,,0.0001,0.014924373477697372,29589
1052,-20.41,219347,0.01,676,967.27,324,,,0.0001,0.01605582796037197,29836
1056,-20.39,220292,0.01,675,971.04,325,,,0.0001,0.014479909092187881,30072
1060,-20.4,221350,0.01,675,976.95,327,,,0.0001,0.009025867097079754,30337
1064,-20.37,222433,0.01,674,985.53,329,,,0.0001,0.01467311941087246,30608
1068,-20.36,223529,0.01,673,990.22,331,,,0.0001,0.005465109366923571,30882
1072,-20.38,224622,0.01,672,994.98,333,,,0.0001,0.0037170115392655134,31155
1076,-20.35,225649,0.01,672,1002.98,335,,,0.0001,0.00927808228880167,31412
1080,-20.32,226768,0.01,671,1009.8,337,,,0.0001,0.007078074850142002,31691
1084,-20.33,227777,0.01,671,1012.97,339,,,0.0001,0.009652594104409218,31944
1088,-20.31,228739,0.01,670,1013.79,341,,,0.0001,0.009521563537418842,32184
1092,-20.32,229765,0.01,670,1017.85,342,,,0.0001,0.00889587216079235,32441
1096,-20.32,230684,0.01,669,1018.0,344,,,0.0001,0.004591877572238445,32670
1100,-20.32,231530,0.01,669,1015.44,346,,,0.0001,0.008410941809415817,32882
1104,-20.36,232568,0.01,668,1018.78,347,,,0.0001,0.01160238403826952,33141
1108,-20.33,233620,0.01,667,1016.03,349,,,0.0001,0.011729825288057327,33404
1112,-20.33,234734,0.01,667,1020.47,351,,,0.0001,0.035193175077438354,33683
1116,-20.34,235685,0.01,666,1024.34,353,,,0.0001,0.007247189991176128,33921
1120,-20.36,236623,0.01,666,1022.64,355,,,0.0001,0.012180056422948837,34155
1124,-20.36,237666,0.01,665,1028.79,357,,,0.0001,0.011186555027961731,34416
1128,-20.39,238724,0.01,665,1034.46,358,,,0.0001,0.007624932564795017,34680
1132,-20.4,239641,0.01,664,1033.56,360,,,0.0001,0.016302796080708504,34910
1136,-20.35,240696,0.01,664,1036.67,362,,,0.0001,0.003533964976668358,35173
1140,-20.33,241673,0.01,663,1035.43,364,,,0.0001,0.004638073965907097,35418
1144,-20.33,242940,0.01,662,1044.01,366,,,0.0001,0.0068356953561306,35734
1148,-20.3,244001,0.01,662,1047.82,368,,,0.0001,0.011063981801271439,36000
1152,-20.31,245077,0.01,661,1051.15,370,,,0.0001,0.014507729560136795,36269
1156,-20.33,246075,0.01,661,1053.29,372,,,0.0001,0.006971156224608421,36518
1160,-20.3,247211,0.01,660,1056.49,374,,,0.0001,0.015657786279916763,36802
1164,-20.3,248271,0.01,660,1055.48,376,,,0.0001,0.0029840897768735886,37067
1168,-20.3,249442,0.01,659,1058.39,378,,,0.0001,0.027205105870962143,37360
1172,-20.29,250775,0.01,658,1067.99,380,,,0.0001,0.015461908653378487,37693
1176,-20.3,251809,0.01,658,1068.22,382,,,0.0001,0.007971668615937233,37952
1180,-20.32,252840,0.01,657,1064.48,384,,,0.0001,0.01137141976505518,38209
1184,-20.31,253902,0.01,657,1066.53,386,,,0.0001,0.0063342866487801075,38475
1188,-20.31,254946,0.01,656,1069.67,388,,,0.0001,0.004951953422278166,38736
1192,-20.31,256010,0.01,656,1071.13,389,,,0.0001,0.006646682042628527,39002
1196,-20.31,257116,0.01,656,1078.86,391,,,0.0001,0.01929904893040657,39278
1200,-20.31,258219,0.01,655,1089.09,393,,,0.0001,0.024168603122234344,39554
1204,-20.3,259560,0.01,654,1101.91,396,,,0.0001,0.003526898566633463,39889
1208,-20.33,260591,0.01,654,1101.02,398,,,0.0001,0.0050653982907533646,40147
1212,-20.31,261740,0.01,654,1102.64,400,,,0.0001,0.008549263700842857,40434
1216,-20.26,262997,0.01,653,1114.75,402,,,0.0001,0.022250719368457794,40749
1220,-20.27,263982,0.01,653,1116.6,404,,,0.0001,0.02011832781136036,40995
1224,-20.23,265147,0.01,652,1121.59,406,,,0.0001,0.006271811667829752,41286
1228,-20.18,266214,0.01,652,1121.91,408,,,0.0001,0.007184949703514576,41553
1232,-20.14,267526,0.01,651,1137.89,410,,,0.0001,0.012371465563774109,41881
1236,-20.16,268479,0.01,651,1134.07,412,,,0.0001,0.014046160504221916,42119
1240,-20.16,269733,0.01,650,1144.95,414,,,0.0001,0.008808078244328499,42433
1244,-20.14,270944,0.01,650,1142.64,416,,,0.0001,0.005328626837581396,42735
1248,-20.17,272114,0.01,649,1147.26,418,,,0.0001,0.009316046722233295,43028
1252,-20.17,273181,0.01,649,1147.04,420,,,0.0001,0.00521224457770586,43295
1256,-20.12,274307,0.01,648,1152.54,422,,,0.0001,0.01352194044739008,43576
1260,-20.13,275299,0.01,648,1146.76,424,,,0.0001,0.006173387635499239,43824
1264,-20.15,276331,0.01,648,1145.77,426,,,0.0001,0.008895834907889366,44082
1268,-20.18,277419,0.01,647,1142.69,428,,,0.0001,0.007386540994048119,44354
1272,-20.2,278496,0.01,647,1132.24,430,,,0.0001,0.003058353438973427,44623
1276,-20.21,279492,0.01,646,1130.75,432,,,0.0001,0.004309528972953558,44872
1280,-20.23,280752,0.01,646,1139.83,434,,,0.0001,0.003908398095518351,45187
1284,-20.23,281851,0.01,646,1141.17,436,,,0.0001,0.005896885879337788,45462
1288,-20.24,283150,0.01,645,1151.31,438,,,0.0001,0.007789670489728451,45787
1292,-20.21,284298,0.01,645,1154.68,440,,,0.0001,0.016786690801382065,46074
1296,-20.21,285348,0.01,644,1152.34,442,,,0.0001,0.00909171812236309,46336
1300,-20.16,286474,0.01,644,1153.57,444,,,0.0001,0.008581949397921562,46618
1304,-20.14,287713,0.01,644,1148.83,446,,,0.0001,0.006278626155108213,46928
1308,-20.12,289026,0.01,643,1160.12,449,,,0.0001,0.003961881622672081,47256
1312,-20.17,290207,0.01,643,1161.27,451,,,0.0001,0.013518014922738075,47551
1316,-20.19,291511,0.01,642,1162.97,453,,,0.0001,0.01354583352804184,47877
1320,-20.15,292760,0.01,642,1173.59,455,,,0.0001,0.012128494679927826,48189
1324,-20.19,293861,0.01,641,1171.24,457,,,0.0001,0.009459860622882843,48465
1328,-20.23,295142,0.01,641,1180.01,460,,,0.0001,0.007295778952538967,48785
1332,-20.29,296271,0.01,641,1172.62,462,,,0.0001,0.010438775643706322,49067
1336,-20.3,297560,0.01,640,1186.05,464,,,0.0001,0.015691867098212242,49389
1340,-20.34,298739,0.01,640,1183.17,466,,,0.0001,0.01666097342967987,49684
1344,-20.38,299987,0.01,639,1184.81,468,,,0.0001,0.008345394395291805,49996
,,300000,0.01,,,,1335.85,-20.3,0.0001,0.008099012076854706,49999
1348,-20.33,301305,0.01,628,1190.3,479,,,0.0001,0.010430041700601578,50326
1352,-20.32,302410,0.01,627,1191.57,481,,,0.0001,0.015145503915846348,50602
1356,-20.33,303704,0.01,627,1198.16,483,,,0.0001,0.00457011628895998,50925
1360,-20.32,305060,0.01,627,1212.63,486,,,0.0001,0.014229422435164452,51264
1364,-20.33,306381,0.01,626,1224.1,488,,,0.0001,0.005122805014252663,51595
1368,-20.29,307715,0.01,626,1233.62,491,,,0.0001,0.006197035312652588,51928
1372,-20.28,309038,0.01,626,1243.94,493,,,0.0001,0.011497559025883675,52259
1376,-20.27,310396,0.01,625,1258.18,495,,,0.0001,0.014300455339252949,52598
1380,-20.21,311891,0.01,625,1267.57,498,,,0.0001,0.007763916160911322,52972
1384,-20.18,313182,0.01,625,1275.36,501,,,0.0001,0.013937619514763355,53295
1388,-20.12,314546,0.01,624,1278.15,503,,,0.0001,0.00682852091267705,53636
1392,-20.13,315960,0.01,624,1288.83,506,,,0.0001,0.003151462646201253,53989
1396,-20.1,317308,0.01,624,1300.62,508,,,0.0001,0.01032077893614769,54326
1400,-20.06,318775,0.01,623,1313.95,511,,,0.0001,0.016646679490804672,54693
1404,-20.03,320193,0.01,623,1321.31,513,,,0.0001,0.02522469311952591,55048
1408,-20.05,321523,0.01,623,1322.13,516,,,0.0001,0.011867862194776535,55380
1412,-20.01,322797,0.01,622,1325.9,518,,,0.0001,0.003931630402803421,55699
1416,-20.01,324168,0.01,622,1328.86,520,,,0.0001,0.005247907713055611,56041
1420,-19.99,325667,0.01,622,1338.6,523,,,0.0001,0.006705935113132,56416
