time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/value_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
3958,7.05,150.67,1116160,545,281,0.12545150518417358,0.3513409402221441,2176,0.2,-0.0007997129869181663,0.0061751166,-0.9665960110723972,0.9101004600524902,0.00025,0.0516357421875,,
3959,7.03,149.63,1118208,546,282,0.1323060542345047,0.3073933459818363,2180,0.2,-0.002938203775556758,0.01242478,-1.0831508785486221,0.9198471903800964,0.00025,0.1102294921875,,
3960,7.12,151.77,1120256,547,282,0.14598491787910461,0.3543923366814852,2184,0.2,-0.0043431553058326244,0.00802972,-1.0960855931043625,0.91221684217453,0.00025,0.059326171875,,
3960,7.05,150.51,1122304,548,283,0.11355943977832794,0.285520245321095,2188,0.2,-0.0001430152915418148,0.014118593,-1.158829502761364,0.9255714416503906,0.00025,0.082275390625,,
3961,7.05,150.32,1124352,549,283,0.06481098383665085,0.25302785262465477,2192,0.2,0.001270531036425382,0.007685151,-1.1565512493252754,0.9202393293380737,0.00025,0.0987548828125,,
3961,6.92,148.12,1126400,550,284,0.11865117400884628,0.25880655739456415,2196,0.2,-0.0018005747988354415,0.0053766146,-1.086713820695877,0.9257540702819824,0.00025,0.063232421875,,
3962,6.92,147.94,1128448,551,284,0.12821634113788605,0.33577830344438553,2200,0.2,-0.00191399862524122,0.008999152,-1.0836344584822655,0.9092130064964294,0.00025,0.0833740234375,,
3963,6.85,148.09,1130496,552,285,0.15931323170661926,0.40820084884762764,2204,0.2,-0.0013867460074834526,0.014123809,-1.097379170358181,0.9026190638542175,0.00025,0.0919189453125,,
3963,6.9,149.07,1132544,553,285,0.16761581599712372,0.34044772759079933,2208,0.2,-0.0034880579041782767,0.009653546,-1.1622898951172829,0.9162592887878418,0.00025,0.064453125,,
3964,6.8,147.68,1134592,554,286,0.10711401700973511,0.3135219216346741,2212,0.2,0.0008350472198799253,0.008749989,-1.1210526451468468,0.9257566332817078,0.00025,0.08251953125,,
3965,6.75,147.04,1136640,555,286,0.14222082495689392,0.3401473183184862,2216,0.2,-0.0023617833212483674,0.004922082,-1.1150819808244705,0.9128803014755249,0.00025,0.036376953125,,
3965,6.73,147.88,1138688,556,287,0.08935260772705078,0.2870171405375004,2220,0.2,-0.005661330535076559,0.009557614,-1.158062405884266,0.9166501760482788,0.00025,0.0699462890625,,
3966,6.72,147.45,1140736,557,287,0.14954647421836853,0.30905288737267256,2224,0.2,-0.0004668422770919278,0.017526656,-1.1268540918827057,0.90972501039505,0.00025,0.1007080078125,,
3966,6.7,147.92,1142784,558,288,0.10881373286247253,0.2706311782822013,2228,0.2,-0.0026789664407260716,0.0072777043,-1.0594888627529144,0.9290383458137512,0.00025,0.0621337890625,,
3967,6.64,148.71,1144832,559,288,0.13954535126686096,0.3060627281665802,2232,0.2,-0.005486335256136954,0.00781969,-1.1207010000944138,0.9149012565612793,0.00025,0.065673828125,,
3968,6.42,145.59,1146880,560,289,0.12046051025390625,0.3191465400159359,2236,0.2,-0.004873093057540245,0.008238982,-1.1134325787425041,0.9081739783287048,0.00025,0.0640869140625,,
3968,6.37,145.51,1148928,561,289,0.1835808902978897,0.34846768341958523,2240,0.2,-0.0023976047814358026,0.015250109,-1.0101242139935493,0.9065311551094055,0.00025,0.0899658203125,,
3969,6.39,145.45,1150976,562,289,0.0676361471414566,0.2140907235443592,2244,0.2,-0.006547607539687306,0.006771822,-1.1426660418510437,0.9176560640335083,0.00025,0.0650634765625,,
3970,6.43,145.55,1153024,563,290,0.12708821892738342,0.3200655020773411,2248,0.2,0.001001618365989998,0.0054626856,-1.0776151418685913,0.8786715269088745,0.00025,0.07666015625,,
3970,6.38,145.54,1155072,564,290,0.13468500971794128,0.31740775890648365,2252,0.2,-0.0026356829184805974,0.009282436,-1.112455889582634,0.8860454559326172,0.00025,0.058837890625,,
3971,6.43,145.93,1157120,565,291,0.10560157895088196,0.29819448478519917,2256,0.2,-0.005377663939725608,0.010794392,-1.0343473628163338,0.8999224901199341,0.00025,0.09326171875,,
3971,6.48,145.4,1159168,566,291,0.09882020950317383,0.2648770287632942,2260,0.2,0.0002721316704992205,0.011180569,-1.0719212591648102,0.9148600101470947,0.00025,0.0892333984375,,
3972,6.59,146.74,1161216,567,292,0.05921293795108795,0.18369873985648155,2264,0.2,-0.0037481729523278773,0.0061423974,-1.0609926283359528,0.939720630645752,0.00025,0.0577392578125,,
3972,6.72,147.75,1163264,568,292,0.13300611078739166,0.31165171787142754,2268,0.2,-0.0030606858199462295,0.0073355054,-1.133026473224163,0.9149425029754639,0.00025,0.0684814453125,,
3973,6.78,150.32,1165312,569,293,0.12467235326766968,0.295965856872499,2272,0.2,-0.00274446010007523,0.0077858437,-1.0527481026947498,0.9168455004692078,0.00025,0.058349609375,,
