rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
0.01,802.12,114116,881,-20.87,129,540,,,3528,0.0001,0.009597314521670341
0.01,795.9,114855,878,-20.89,130,544,,,3713,0.0001,0.009586615487933159
0.01,792.86,115586,874,-20.91,132,548,,,3896,0.0001,0.016365855932235718
0.01,786.61,116341,871,-20.93,133,552,,,4085,0.0001,0.031027156859636307
0.01,782.63,117081,868,-20.95,134,556,,,4270,0.0001,0.006650030612945557
0.01,775.59,117822,865,-20.99,136,560,,,4455,0.0001,0.010394598357379436
0.01,773.4,118585,862,-20.98,137,564,,,4646,0.0001,0.00811937265098095
0.01,773.2,119347,859,-20.98,138,568,,,4836,0.0001,0.026304392144083977
0.01,774.46,120118,856,-20.97,140,572,,,5029,0.0001,0.011852027848362923
0.01,775.17,120904,853,-20.98,141,576,,,5225,0.0001,0.004275799263268709
0.01,775.78,121661,850,-20.98,143,580,,,5415,0.0001,0.011912371031939983
0.01,777.3,122437,847,-20.97,144,584,,,5609,0.0001,0.020030727609992027
0.01,777.58,123179,844,-20.97,145,588,,,5794,0.0001,0.004995664581656456
0.01,778.47,123942,842,-20.97,147,592,,,5985,0.0001,0.011947499588131905
0.01,781.04,124747,839,-20.96,148,596,,,6186,0.0001,0.026976455003023148
0.01,781.32,125513,836,-20.96,149,600,,,6378,0.0001,0.009567193686962128
0.01,782.79,126290,834,-20.96,151,604,,,6572,0.0001,0.012459756806492805
0.01,782.83,127063,831,-20.96,152,608,,,6765,0.0001,0.025265447795391083
0.01,782.84,127815,829,-20.96,154,612,,,6953,0.0001,0.008394889533519745
0.01,783.02,128560,826,-20.96,155,616,,,7139,0.0001,0.023839429020881653
0.01,783.48,129332,824,-20.95,156,620,,,7332,0.0001,0.016558244824409485
0.01,783.94,130100,821,-20.94,158,624,,,7524,0.0001,0.006955462973564863
0.01,785.01,130880,819,-20.93,159,628,,,7719,0.0001,0.005212708376348019
0.01,784.41,131645,817,-20.93,161,632,,,7911,0.0001,0.0038675228133797646
0.01,784.4,132407,815,-20.93,162,636,,,8101,0.0001,0.021022027358412743
0.01,785.3,133173,812,-20.93,163,640,,,8293,0.0001,0.0029248003847897053
0.01,786.03,133923,810,-20.92,165,644,,,8480,0.0001,0.008517702110111713
0.01,786.31,134667,808,-20.92,166,648,,,8666,0.0001,0.002660562749952078
0.01,788.69,135481,806,-20.92,168,652,,,8870,0.0001,0.0066512953490018845
0.01,789.07,136238,804,-20.92,169,656,,,9059,0.0001,0.010678817518055439
0.01,789.86,136998,802,-20.91,170,660,,,9249,0.0001,0.003994244150817394
0.01,791.44,137797,800,-20.91,172,664,,,9449,0.0001,0.006405183579772711
0.01,791.03,138538,798,-20.91,173,668,,,9634,0.0001,0.010632934048771858
0.01,791.26,139312,796,-20.92,174,672,,,9827,0.0001,0.0034425295889377594
0.01,791.44,140096,794,-20.92,176,676,,,10023,0.0001,0.02121700905263424
0.01,791.98,140871,792,-20.91,177,680,,,10217,0.0001,0.012731368653476238
0.01,790.64,141618,790,-20.92,179,684,,,10404,0.0001,0.003769374918192625
0.01,790.36,142364,789,-20.92,180,688,,,10590,0.0001,0.00785362534224987
0.01,790.08,143118,787,-20.92,181,692,,,10779,0.0001,0.00959904957562685
0.01,789.94,143917,785,-20.93,183,696,,,10979,0.0001,0.022020021453499794
0.01,790.68,144701,783,-20.93,184,700,,,11175,0.0001,0.0047681317664682865
0.01,791.96,145523,781,-20.93,186,704,,,11380,0.0001,0.004470770247280598
0.01,795.61,146377,780,-20.93,187,708,,,11594,0.0001,0.014170337468385696
0.01,798.06,147189,778,-20.93,189,712,,,11797,0.0001,0.011117535643279552
0.01,802.31,148036,776,-20.91,190,716,,,12008,0.0001,0.0021564457565546036
0.01,805.33,148889,774,-20.9,192,720,,,12222,0.0001,0.014324763789772987
0.01,806.96,149698,773,-20.91,193,724,,,12424,0.0001,0.004196991678327322
0.01,807.64,150506,771,-20.92,195,728,,,12626,0.0001,0.008722350932657719
0.01,808.72,151293,770,-20.92,196,732,,,12823,0.0001,0.013721173629164696
0.01,808.39,152043,768,-20.92,197,736,,,13010,0.0001,0.016534334048628807
0.01,807.21,152776,767,-20.92,199,740,,,13193,0.0001,0.0035729266237467527
0.01,807.29,153536,765,-20.93,200,744,,,13383,0.0001,0.0060087465681135654
0.01,810.25,154361,764,-20.91,202,748,,,13590,0.0001,0.01639709062874317
0.01,808.48,155125,762,-20.9,203,752,,,13781,0.0001,0.005273559596389532
0.01,809.32,155894,761,-20.9,204,756,,,13973,0.0001,0.00788875576108694
0.01,811.62,156720,759,-20.91,206,760,,,14179,0.0001,0.008286930620670319
0.01,812.53,157543,758,-20.92,207,764,,,14385,0.0001,0.02825046516954899
0.01,815.48,158372,757,-20.92,209,768,,,14592,0.0001,0.003654926549643278
0.01,818.56,159233,755,-20.92,210,772,,,14808,0.0001,0.008151138201355934
0.01,819.35,160037,754,-20.91,212,776,,,15009,0.0001,0.006145445629954338
0.01,823.42,160902,752,-20.91,213,780,,,15225,0.0001,0.02225889265537262
0.01,829.33,161801,751,-20.89,215,784,,,15450,0.0001,0.00590722169727087
0.01,833.19,162634,749,-20.89,216,788,,,15658,0.0001,0.008672233670949936
0.01,840.85,163575,748,-20.87,218,792,,,15893,0.0001,0.0035280613228678703
0.01,842.08,164413,747,-20.87,220,796,,,16103,0.0001,0.004713922739028931
0.01,845.34,165275,745,-20.87,221,800,,,16318,0.0001,0.008203980512917042
0.01,849.06,166190,744,-20.86,223,804,,,16547,0.0001,0.006416813470423222
0.01,849.28,167057,742,-20.85,224,808,,,16764,0.0001,0.01790531538426876
0.01,853.74,167984,741,-20.84,226,812,,,16995,0.0001,0.016072984784841537
0.01,855.08,168871,739,-20.86,228,816,,,17217,0.0001,0.008947735652327538
0.01,854.69,169720,738,-20.87,229,820,,,17429,0.0001,0.004529522731900215
0.01,856.65,170576,737,-20.87,231,824,,,17643,0.0001,0.006445702165365219
0.01,860.93,171477,736,-20.87,232,828,,,17869,0.0001,0.004189298953860998
0.01,863.38,172324,735,-20.87,234,832,,,18080,0.0001,0.01486444566398859
0.01,869.19,173222,733,-20.86,236,836,,,18305,0.0001,0.01506001502275467
0.01,871.19,174014,732,-20.86,237,840,,,18503,0.0001,0.00401427922770381
0.01,876.54,174909,731,-20.85,239,844,,,18727,0.0001,0.005752169527113438
0.01,876.57,175736,730,-20.86,240,848,,,18933,0.0001,0.0028586939442902803
0.01,881.52,176620,729,-20.87,242,852,,,19154,0.0001,0.002765646204352379
0.01,883.21,177432,728,-20.86,243,856,,,19357,0.0001,0.003791961120441556
0.01,884.71,178290,727,-20.84,245,860,,,19572,0.0001,0.01819601282477379
0.01,888.22,179199,726,-20.81,246,864,,,19799,0.0001,0.004123298916965723
0.01,890.75,180088,724,-20.8,248,868,,,20021,0.0001,0.005543431267142296
0.01,892.59,180992,723,-20.8,250,872,,,20247,0.0001,0.02118261717259884
0.01,898.34,181939,722,-20.78,251,876,,,20484,0.0001,0.007954675704240799
0.01,897.63,182790,721,-20.79,253,880,,,20697,0.0001,0.007710807491093874
0.01,894.73,183614,720,-20.8,254,884,,,20903,0.0001,0.007456444203853607
0.01,895.98,184488,719,-20.8,256,888,,,21121,0.0001,0.010188788175582886
0.01,891.2,185317,718,-20.82,257,892,,,21329,0.0001,0.011043519712984562
0.01,892.02,186173,717,-20.82,259,896,,,21543,0.0001,0.004295974969863892
0.01,893.23,187070,716,-20.81,261,900,,,21767,0.0001,0.028057247400283813
0.01,891.83,187941,715,-20.82,262,904,,,21985,0.0001,0.014912208542227745
0.01,891.04,188793,714,-20.83,264,908,,,22198,0.0001,0.018445666879415512
0.01,894.69,189813,713,-20.82,265,912,,,22453,0.0001,0.007651948370039463
0.01,904.5,190947,712,-20.78,268,916,,,22736,0.0001,0.016721414402127266
0.01,905.71,191822,711,-20.77,269,920,,,22955,0.0001,0.0049683526158332825
0.01,906.92,192718,710,-20.76,271,924,,,23179,0.0001,0.007472142111510038
0.01,910.4,193710,709,-20.74,272,928,,,23427,0.0001,0.008974539116024971
0.01,910.08,194546,708,-20.74,274,932,,,23636,0.0001,0.010578246787190437
0.01,911.09,195462,707,-20.71,276,936,,,23865,0.0001,0.004158220253884792
0.01,915.97,196386,706,-20.69,277,940,,,24096,0.0001,0.012684155255556107
0.01,917.46,197320,705,-20.68,279,944,,,24329,0.0001,0.010595344007015228
0.01,917.42,198143,705,-20.69,281,948,,,24535,0.0001,0.01758904755115509
0.01,917.78,199035,704,-20.68,282,952,,,24758,0.0001,0.004498891532421112
0.01,922.17,199962,703,-20.68,284,956,,,24990,0.0001,0.003561107674613595
0.01,,200000,,,,,-20.4,1012.8,24999,0.0001,0.007587135769426823
0.01,931.53,201047,686,-20.64,292,960,,,25261,0.0001,0.012337606400251389
0.01,934.87,202044,685,-20.66,294,964,,,25510,0.0001,0.01010291650891304
0.01,938.27,203016,685,-20.66,296,968,,,25753,0.0001,0.031080488115549088
0.01,941.6,203999,684,-20.66,298,972,,,25999,0.0001,0.004941465798765421
0.01,941.42,204942,683,-20.67,299,976,,,26235,0.0001,0.004550495184957981
0.01,942.13,205809,682,-20.67,301,980,,,26452,0.0001,0.023781705647706985
0.01,947.1,206754,682,-20.65,303,984,,,26688,0.0001,0.007345134858042002
0.01,950.66,207712,681,-20.62,304,988,,,26927,0.0001,0.004525032360106707
0.01,958.48,208736,680,-20.59,306,992,,,27183,0.0001,0.004554434679448605
0.01,964.82,209756,679,-20.56,308,996,,,27438,0.0001,0.008198615163564682
0.01,969.55,210767,679,-20.57,310,1000,,,27691,0.0001,0.009634806774556637
0.01,973.74,211749,678,-20.56,312,1004,,,27937,0.0001,0.004338078200817108
0.01,979.49,212739,677,-20.55,313,1008,,,28184,0.0001,0.007271815091371536
0.01,980.76,213794,676,-20.54,315,1012,,,28448,0.0001,0.0033646235242486
0.01,976.27,214826,676,-20.57,317,1016,,,28706,0.0001,0.005609543528407812
0.01,978.72,215753,675,-20.57,319,1020,,,28938,0.0001,0.004922919441014528
0.01,978.93,216647,675,-20.58,320,1024,,,29161,0.0001,0.010499991476535797
