time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,eval/mean_ep_length,eval/mean_reward
860160,8.44,229,420,173.43,3749,0.15474817156791687,0.00011228359653614461,-0.3455092404037714,0.8889911770820618,0.011720559,1676,0.084228515625,0.00025,0.2,0.3598569855093956,,
862208,8.44,229,421,172.98,3750,0.20425596833229065,-0.0014250213862396777,-0.34026773273944855,0.8554439544677734,0.01115199,1680,0.07958984375,0.00025,0.2,0.4898078367114067,,
864256,8.34,230,422,172.07,3751,0.182356059551239,-0.0011185990006197244,-0.3496686704456806,0.8348905444145203,0.00768249,1684,0.074462890625,0.00025,0.2,0.42829688638448715,,
866304,8.41,230,423,171.87,3752,0.19348113238811493,-0.0003856496186926961,-0.37310056760907173,0.8292222023010254,0.0072026905,1688,0.071044921875,0.00025,0.2,0.45184123143553734,,
868352,8.43,231,424,171.13,3753,0.21141329407691956,-0.002121967700077221,-0.345641789957881,0.8559330701828003,0.008455832,1692,0.050048828125,0.00025,0.2,0.46939745731651783,,
870400,8.35,231,425,169.85,3754,0.1492011696100235,-0.004214725166093558,-0.3772979360073805,0.8918456435203552,0.010550057,1696,0.0635986328125,0.00025,0.2,0.39086953550577164,,
872448,8.42,232,426,170.7,3755,0.19642768800258636,-0.005194579367525876,-0.33704181760549545,0.843580961227417,0.008096407,1700,0.06396484375,0.00025,0.2,0.4733502697199583,,
874496,8.51,232,427,172.17,3757,0.24685809016227722,-0.0024970796366687864,-0.33033733256161213,0.8335056304931641,0.00519869,1704,0.04833984375,0.00025,0.2,0.47603111900389194,,
876544,8.57,233,428,172.93,3758,0.15922054648399353,-0.0018320917151868343,-0.3266764506697655,0.9038594961166382,0.004978396,1708,0.0557861328125,0.00025,0.2,0.3486883323639631,,
878592,8.57,233,429,172.17,3759,0.24390052258968353,0.0030569414666388184,-0.33221512846648693,0.8528489470481873,0.014420658,1712,0.0823974609375,0.00025,0.2,0.5295373387634754,,
880640,8.6,234,430,173.89,3760,0.20245850086212158,-0.000775008084019646,-0.28365541994571686,0.8625711798667908,0.014785327,1716,0.09375,0.00025,0.2,0.47562170401215553,,
882688,8.66,234,431,175.66,3761,0.19846868515014648,-9.198556654155254e-07,-0.2922418359667063,0.866928219795227,0.01656429,1720,0.0811767578125,0.00025,0.2,0.466543797403574,,
884736,8.67,235,432,176.2,3761,0.22162331640720367,0.000614206277532503,-0.31020589359104633,0.8693179488182068,0.008610928,1724,0.076171875,0.00025,0.2,0.4779117349535227,,
886784,8.76,235,433,177.65,3762,0.20013712346553802,5.7754848967306316e-05,-0.28826712630689144,0.868442177772522,0.008007623,1728,0.0523681640625,0.00025,0.2,0.48899584636092186,,
888832,8.94,236,434,178.53,3763,0.2016778290271759,-0.0032810262928251177,-0.3035674709826708,0.8717342019081116,0.008648997,1732,0.052490234375,0.00025,0.2,0.48586017079651356,,
890880,8.9,236,435,179.45,3764,0.2815309464931488,-0.0016177991637960076,-0.30271240323781967,0.8366734385490417,0.011174178,1736,0.0545654296875,0.00025,0.2,0.5212954934686422,,
892928,8.9,237,436,178.71,3765,0.16919316351413727,-0.002064189873635769,-0.3145814370363951,0.9001910090446472,0.008679021,1740,0.059326171875,0.00025,0.2,0.3506837785243988,,
894976,8.9,237,437,178.65,3766,0.15734930336475372,-0.001147827337263152,-0.32608227618038654,0.8826055526733398,0.008939221,1744,0.068359375,0.00025,0.2,0.4050033576786518,,
