time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
272384,284.0,74,3633,133,96.0,1983.9423828125,0.00025,0.4224088191986084,0.0,0.2,-0.00711099844193086,528,4.718604e-07,-0.00018077314598485827,3622.2530364990234,,
274432,284.96,75,3634,134,96.24,1215.4798583984375,0.00025,0.4346657991409302,0.00048828125,0.2,-0.008292945596622303,532,4.925835e-05,-7.328431820496917e-06,2827.0637969970703,,
276480,285.92,76,3634,135,96.48,1215.0634765625,0.00025,0.49894142150878906,0.00048828125,0.2,-0.0064749165321700275,536,0.00020839632,3.271210880484432e-05,2458.2550506591797,,
278528,285.92,76,3635,136,96.48,1390.6575927734375,0.00025,0.5055723786354065,0.00048828125,0.2,-0.006297372892731801,540,4.327885e-05,-4.8814312322065234e-05,2785.8821716308594,,
280576,285.92,77,3635,137,96.48,1362.2408447265625,0.00025,0.5261664390563965,0.000244140625,0.2,-0.005373076914111152,544,1.4308607e-06,-0.00010179018136113882,2724.2251586914062,,
282624,285.92,77,3636,138,96.48,1341.0592041015625,0.00025,0.5334881544113159,0.000244140625,0.2,-0.00676702345663216,548,9.70136e-05,-3.5505450796335936e-05,2364.349411010742,,
284672,285.92,78,3637,139,96.48,827.8629760742188,0.00025,0.5972834825515747,0.0,0.2,-0.010405214678030461,552,1.0235817e-07,1.876625174190849e-05,1799.478126525879,,
286720,285.92,78,3637,140,96.48,895.6585693359375,0.00025,0.5873907804489136,0.0013427734375,0.2,-0.012295478722080588,556,0.00011249402,-3.4881202736869454e-05,1743.73291015625,,
288768,286.88,79,3638,141,96.72,875.9173583984375,0.00025,0.5828906297683716,0.0025634765625,0.2,-0.011940137657802552,560,0.00027593775,0.00020066459546796978,1924.7643356323242,,
290816,286.88,70,4098,142,96.72,866.5197143554688,0.00025,0.624277651309967,0.0015869140625,0.2,-0.014711210795212537,564,0.00013922737,9.90371045190841e-05,1881.8694915771484,,
292864,286.88,71,4099,143,96.72,867.4146118164062,0.00025,0.6307650208473206,0.000244140625,0.2,-0.00903813069453463,568,6.375194e-07,-8.587667252868414e-06,2120.867500305176,,
294912,285.92,71,4100,144,96.48,733.9650268554688,0.00025,0.632445752620697,0.000732421875,0.2,-0.010968970105750486,572,2.0830747e-05,0.00029469587025232613,1754.6102905273438,,
296960,284.0,72,4100,145,96.0,990.7388916015625,0.00025,0.6484929323196411,0.0006103515625,0.2,-0.01005298551172018,576,2.5506859e-05,-7.076574547681957e-05,1979.0110549926758,,
299008,284.96,72,4101,146,96.24,843.5480346679688,0.00025,0.639838695526123,0.00048828125,0.2,-0.009322247380623594,580,2.7875067e-05,-0.00022987747797742486,2030.4552993774414,,
300000,,,,,,857.4303588867188,0.00025,0.6875291466712952,0.0003662109375,0.2,-0.011693106556776911,584,0.00024250249,0.00011070823529735208,1897.542007446289,284.0,96.0
301056,284.96,73,4104,147,96.24,,,,,,,,,,,,
303104,284.96,73,4105,148,96.24,833.5393676757812,0.00025,0.7109689712524414,0.000244140625,0.2,-0.010719140234868973,588,1.2602803e-05,-0.00016425081412307918,1846.5281219482422,,
