time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,rollout/ep_rew_mean,train/value_loss,eval/mean_ep_length,eval/mean_reward
112640,945,55,119,922.38,0.0013246164,216,0.0047607421875,-1.6287034451961517,0.1,0.00025,-0.000595144258113578,0.9313498735427856,0.11619925498962402,-20.68,0.23957954812794924,,
114688,946,56,121,920.49,0.0005794063,220,0.0025634765625,-1.6272020488977432,0.1,0.00025,-0.0004672915383707732,0.9602383375167847,0.07729290425777435,-20.69,0.22133850120007992,,
116736,946,57,123,915.84,0.0010834206,224,0.0091552734375,-1.6041802540421486,0.1,0.00025,0.0007122161623556167,0.9503945708274841,0.31803563237190247,-20.67,0.2732450049370527,,
118784,946,58,125,915.36,0.00074303185,228,0.0086669921875,-1.5701109915971756,0.1,0.00025,-0.000550188880879432,0.9668208360671997,0.07456788420677185,-20.66,0.19558236841112375,,
120832,946,59,127,910.02,0.000489977,232,0.0032958984375,-1.5823710188269615,0.1,0.00025,-0.00015772067126818,0.9478291273117065,0.1093239113688469,-20.67,0.30451096035540104,,
122880,946,60,129,922.3,0.0010033137,236,0.02734375,-1.5865815728902817,0.1,0.00025,-0.0006938396545592695,0.9465762376785278,0.08091942965984344,-20.6,0.19162801653146744,,
124928,946,61,131,919.71,0.00064082793,240,0.0064697265625,-1.5723561570048332,0.1,0.00025,-0.0005329913983587176,0.9634782671928406,0.085129514336586,-20.62,0.248855316080153,,
126976,947,62,134,922.57,0.0021991527,244,0.0162353515625,-1.514019452035427,0.1,0.00025,-0.0010389311355538666,0.962923526763916,0.07146811485290527,-20.63,0.21735230460762978,,
129024,947,63,136,928.79,0.0009373997,248,0.0020751953125,-1.5246646329760551,0.1,0.00025,-0.00047965452540665865,0.9587804079055786,0.07887674868106842,-20.6,0.22068828996270895,,
131072,947,64,138,929.62,0.0036611464,252,0.202392578125,-1.5625318363308907,0.1,0.00025,-0.002319333842024207,0.9530513286590576,0.07528898119926453,-20.63,0.18321557715535164,,
133120,947,65,140,921.56,0.0020720477,256,0.0609130859375,-1.522593878209591,0.1,0.00025,-0.0006255555199459195,0.9634068012237549,0.10918855667114258,-20.67,0.1920679770410061,,
135168,947,66,142,923.1,0.00050454336,260,0.0,-1.5266095623373985,0.1,0.00025,-9.717396460473537e-05,0.956845760345459,0.1237918958067894,-20.66,0.21935087349265814,,
137216,947,67,144,920.38,0.0011835917,264,0.0089111328125,-1.4944610297679901,0.1,0.00025,-0.001267151819774881,0.9757769703865051,0.03110456094145775,-20.68,0.1589573947712779,,
139264,947,68,146,922.1,0.0008082994,268,0.0147705078125,-1.4898833259940147,0.1,0.00025,-5.2260991651564837e-05,0.9671445488929749,0.08125779032707214,-20.7,0.18934619426727295,,
141312,947,69,149,926.06,0.0027632262,272,0.0462646484375,-1.4581896886229515,0.1,0.00025,-0.000233425700571388,0.9661005139350891,0.05419740825891495,-20.73,0.1529125776141882,,
143360,948,70,151,930.42,0.0017182744,276,0.0806884765625,-1.4270684644579887,0.1,0.00025,-0.0019797330896835774,0.9663258194923401,0.06692209094762802,-20.73,0.1611913898959756,,
145408,948,71,153,925.29,0.0019557253,280,0.0152587890625,-1.453759916126728,0.1,0.00025,-0.000926387874642387,0.9713170528411865,0.06143494322896004,-20.75,0.14521010592579842,,
147456,948,72,155,931.54,0.00034809473,284,0.000732421875,-1.3953919038176537,0.1,0.00025,-0.0003153940779156983,0.9487336874008179,0.10344210267066956,-20.77,0.202639595605433,,
149504,948,73,157,932.91,0.0033076697,288,0.0809326171875,-1.4445305913686752,0.1,0.00025,-0.0009075435518752784,0.9696685075759888,0.08285866677761078,-20.78,0.16654072981327772,,
151552,948,74,159,930.38,0.0022900216,292,0.0350341796875,-1.3733001872897148,0.1,0.00025,-0.0018801688274834305,0.9525198340415955,0.0699569508433342,-20.76,0.17698414158076048,,
153600,948,75,161,935.27,0.0009844806,296,0.01806640625,-1.387229546904564,0.1,0.00025,4.7237350372597575e-05,0.9635521173477173,0.08505288511514664,-20.74,0.2215653359889984,,
155648,948,76,164,947.11,0.00163297,300,0.0362548828125,-1.3768909722566605,0.1,0.00025,-0.0002594952820800245,0.945537805557251,0.07290725409984589,-20.66,0.20689583756029606,,
157696,949,77,166,943.45,0.004656148,304,0.235595703125,-1.3452917262911797,0.1,0.00025,-0.0017940519319381565,0.9651978611946106,0.08484360575675964,-20.66,0.28759389370679855,,
159744,949,78,168,947.54,0.00121293,308,0.0435791015625,-1.3849150612950325,0.1,0.00025,-0.0003296671493444592,0.9578480124473572,0.06656289100646973,-20.63,0.19492364674806595,,
161792,949,79,170,956.36,0.0020524568,312,0.0281982421875,-1.394871085882187,0.1,0.00025,-0.00038235014653764665,0.9452595114707947,0.13902749121189117,-20.59,0.212733861990273,,
163840,949,80,172,957.66,0.0030570892,316,0.10888671875,-1.4499652087688446,0.1,0.00025,-0.0006035720580257475,0.9591537117958069,0.08154327422380447,-20.53,0.21140438970178366,,
165888,949,81,174,964.23,0.0025036137,320,0.0526123046875,-1.4154772758483887,0.1,0.00025,-0.0009316967334598303,0.9558022618293762,0.09587683528661728,-20.51,0.1965573951601982,,
167936,949,82,176,966.67,0.0013349834,324,0.006591796875,-1.4189692363142967,0.1,0.00025,-0.0005841745005454868,0.9636565446853638,0.05623747780919075,-20.52,0.15586289949715137,,
169984,949,83,179,964.23,0.0025569426,328,0.0399169921875,-1.401268944144249,0.1,0.00025,-0.0002639741578605026,0.9699112772941589,0.06699342280626297,-20.52,0.16172924311831594,,
172032,949,84,181,959.65,0.0008477186,332,0.007080078125,-1.396557629108429,0.1,0.00025,-0.00032976650982163846,0.9345551133155823,0.09594162553548813,-20.56,0.24876498710364103,,
174080,949,85,183,963.43,0.0010093155,336,0.0128173828125,-1.4106599390506744,0.1,0.00025,-0.0009950441890396178,0.9397976398468018,0.1069447323679924,-20.5,0.2575628710910678,,
176128,949,86,185,965.68,0.0026096306,340,0.1160888671875,-1.406846135854721,0.1,0.00025,-0.0011357906041666865,0.9406444430351257,0.12538914382457733,-20.48,0.27852927427738905,,
178176,949,87,187,964.25,0.0037810795,344,0.1492919921875,-1.3404674530029297,0.1,0.00025,-0.0007530415605287999,0.9520624279975891,0.1483628898859024,-20.54,0.21797670237720013,,
180224,949,88,189,965.43,0.0016317551,348,0.138427734375,-1.3443701416254044,0.1,0.00025,-0.0008054594218265265,0.9539107084274292,0.08823050558567047,-20.54,0.19383473508059978,,
182272,950,89,191,956.64,0.0006563829,352,0.0230712890625,-1.363279640674591,0.1,0.00025,-0.00025100077618844807,0.9662777185440063,0.07765662670135498,-20.56,0.21787974331527948,,
184320,950,90,193,953.47,0.0038519641,356,0.1046142578125,-1.3138462454080582,0.1,0.00025,0.0013594335177913308,0.9524776935577393,0.1320723444223404,-20.57,0.2691143536940217,,
186368,950,91,196,949.47,0.0013876455,360,0.0125732421875,-1.3641159906983376,0.1,0.00025,-6.763948476873338e-05,0.9538127183914185,0.08819465339183807,-20.58,0.24529623985290527,,
188416,950,92,198,951.86,0.0010758282,364,0.0555419921875,-1.343848668038845,0.1,0.00025,0.00015750224702060223,0.9640932083129883,0.07525850832462311,-20.59,0.16761951986700296,,
190464,950,93,200,947.2,0.0024145152,368,0.0673828125,-1.3841745480895042,0.1,0.00025,-0.0006891406665090472,0.9679675698280334,0.060313981026411057,-20.61,0.13721361989155412,,
192512,950,94,202,948.41,0.0016736661,372,0.0572509765625,-1.311024859547615,0.1,0.00025,3.6292767617851496e-05,0.944854199886322,0.1761971116065979,-20.59,0.30361596401780844,,
194560,950,95,204,957.62,0.0023604496,376,0.041748046875,-1.3743157088756561,0.1,0.00025,-0.00032824883237481117,0.972150981426239,0.06752362847328186,-20.56,0.23486396204680204,,
196608,950,96,206,955.05,0.00186289,380,0.0931396484375,-1.32229994982481,0.1,0.00025,-0.0029624062299262732,0.9465764760971069,0.07331256568431854,-20.61,0.1944670295342803,,
198656,950,97,208,948.27,0.0034372401,384,0.141845703125,-1.373341865837574,0.1,0.00025,-0.00016832741675898433,0.9607604146003723,0.1136331856250763,-20.67,0.21175684314221144,,
200704,950,98,211,952.99,0.001944825,388,0.151123046875,-1.3904799818992615,0.1,0.00025,-0.003037939837668091,0.9553048014640808,0.06405612826347351,-20.66,0.1582207130268216,,
202752,950,99,213,949.26,0.0015280112,392,0.00146484375,-1.3669359534978867,0.1,0.00025,-0.00044951916788704693,0.9582467079162598,0.053366124629974365,-20.69,0.1431664638221264,,
204800,950,100,215,952.95,0.0042116386,396,0.112060546875,-1.4097736328840256,0.1,0.00025,-0.0007593922782689333,0.9560676217079163,0.061236947774887085,-20.72,0.1611876031383872,,
206848,950,101,217,961.53,0.0006513714,400,0.0096435546875,-1.3690411671996117,0.1,0.00025,0.00011875297059305012,0.929943859577179,0.096586212515831,-20.68,0.24361655954271555,,
208896,950,102,219,958.06,0.00057559356,404,0.0028076171875,-1.4287418350577354,0.1,0.00025,-0.00024827400920912623,0.9550480246543884,0.08185157179832458,-20.7,0.15885766595602036,,
210944,951,103,221,954.64,0.0016684369,408,0.0341796875,-1.3729188665747643,0.1,0.00025,-0.00012697902275249362,0.9410161375999451,0.09017184376716614,-20.71,0.18731975741684437,,
212992,951,104,223,954.98,0.0014388992,412,0.0247802734375,-1.3690146580338478,0.1,0.00025,-0.0003101179318036884,0.9514868855476379,0.1011584922671318,-20.68,0.20305730309337378,,
