time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
744,823,159658,193,0.8419385799999999,887.8,-20.64,,,0.0001,14914,0.0045975311659276485
748,822,160473,195,0.8411317299999999,885.6,-20.64,,,0.0001,15118,0.007974544540047646
752,821,161357,196,0.84025657,887.08,-20.64,,,0.0001,15339,0.009298129007220268
756,819,162219,197,0.8394031900000001,885.14,-20.63,,,0.0001,15554,0.014072135090827942
760,818,163188,199,0.8384438800000001,890.26,-20.58,,,0.0001,15796,0.007906570099294186
764,817,164084,200,0.8375568400000001,890.52,-20.56,,,0.0001,16020,0.00881151668727398
768,816,164999,202,0.8366509900000001,891.7,-20.57,,,0.0001,16249,0.005842306651175022
772,815,165792,203,0.83586592,890.29,-20.58,,,0.0001,16447,0.005866255611181259
776,814,166644,204,0.8350224399999999,889.43,-20.59,,,0.0001,16660,0.017683759331703186
780,813,167576,206,0.8340997600000001,890.32,-20.6,,,0.0001,16893,0.007788999006152153
784,812,168381,207,0.83330281,883.05,-20.64,,,0.0001,17095,0.012306954711675644
788,811,169286,208,0.83240686,886.02,-20.63,,,0.0001,17321,0.04418061673641205
792,810,170104,209,0.83159704,884.8,-20.65,,,0.0001,17525,0.005168423987925053
796,809,170952,211,0.83075752,883.78,-20.67,,,0.0001,17737,0.007495568599551916
800,808,171793,212,0.8299249299999999,882.63,-20.68,,,0.0001,17948,0.03034622222185135
804,807,172670,213,0.8290566999999999,883.48,-20.68,,,0.0001,18167,0.0047151073813438416
808,806,173575,215,0.82816075,886.06,-20.68,,,0.0001,18393,0.009396569803357124
812,805,174428,216,0.82731628,886.9,-20.67,,,0.0001,18606,0.005456114653497934
816,804,175291,217,0.8264619099999999,885.77,-20.66,,,0.0001,18822,0.012424787506461143
820,803,176211,219,0.8255511100000001,887.97,-20.63,,,0.0001,19052,0.004149523563683033
824,802,177043,220,0.8247274299999999,888.11,-20.62,,,0.0001,19260,0.0049445852637290955
828,801,177884,221,0.8238948400000001,888.87,-20.62,,,0.0001,19470,0.005454639438539743
832,800,178745,223,0.8230424500000001,888.5,-20.61,,,0.0001,19686,0.007405873388051987
