rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
-17.42,640326,2862.91,258,1632,2479,0.01,0.0001,0.011125613935291767,157581,,
-17.41,642981,2852.28,258,1636,2489,0.01,0.0001,0.00628051720559597,158245,,
-17.41,645931,2860.43,258,1640,2500,0.01,0.0001,0.013820461928844452,158982,,
-17.38,648564,2860.84,258,1644,2511,0.01,0.0001,0.008423345163464546,159640,,
-17.29,651488,2875.43,258,1648,2522,0.01,0.0001,0.007136880420148373,160371,,
-17.28,654314,2888.71,258,1652,2534,0.01,0.0001,0.01779341697692871,161078,,
-17.27,657216,2896.28,258,1656,2545,0.01,0.0001,0.007618083618581295,161803,,
-17.19,660305,2917.62,258,1660,2557,0.01,0.0001,0.01062361616641283,162576,,
-17.32,663025,2899.42,258,1664,2568,0.01,0.0001,0.010627338662743568,163256,,
-17.27,665746,2906.31,258,1668,2579,0.01,0.0001,0.015831587836146355,163936,,
-17.2,669111,2942.91,258,1672,2592,0.01,0.0001,0.010750312358140945,164777,,
-17.14,672034,2954.78,258,1676,2603,0.01,0.0001,0.01175219938158989,165508,,
-17.02,674917,2964.47,258,1680,2614,0.01,0.0001,0.009406771510839462,166229,,
-17.07,677715,2959.2,258,1684,2625,0.01,0.0001,0.005416677799075842,166928,,
-17.12,680810,2965.35,258,1688,2637,0.01,0.0001,0.0047311605885624886,167702,,
-17.05,684102,2970.79,258,1692,2650,0.01,0.0001,0.013540872372686863,168525,,
-17.02,686986,2978.5,258,1696,2661,0.01,0.0001,0.008458630181849003,169246,,
-17.03,689715,2968.86,258,1700,2671,0.01,0.0001,0.004850915167480707,169928,,
-16.92,692686,2973.33,258,1704,2682,0.01,0.0001,0.008098750375211239,170671,,
-16.95,695528,2958.94,258,1708,2693,0.01,0.0001,0.010462727397680283,171381,,
-17.01,698240,2938.48,258,1712,2704,0.01,0.0001,0.01242965180426836,172059,,
,700000,,,,,0.01,0.0001,0.015618533827364445,172499,2842.55,-17.5
-17.06,701265,2929.43,254,1716,2750,0.01,0.0001,0.025984426960349083,172816,,
-17.08,704325,2923.98,254,1720,2762,0.01,0.0001,0.011284779757261276,173581,,
-17.14,706949,2919.75,254,1724,2772,0.01,0.0001,0.007958018220961094,174237,,
-17.25,709536,2899.9,254,1728,2783,0.01,0.0001,0.012319246307015419,174883,,
-17.24,712330,2902.68,254,1732,2794,0.01,0.0001,0.01057828962802887,175582,,
-17.18,715049,2905.19,254,1736,2804,0.01,0.0001,0.021050844341516495,176262,,
-17.17,717606,2889.99,255,1740,2813,0.01,0.0001,0.007821902632713318,176901,,
-17.09,720399,2895.95,255,1744,2824,0.01,0.0001,0.007097628898918629,177599,,
-17.12,723065,2885.67,255,1748,2834,0.01,0.0001,0.012851100414991379,178266,,
-17.05,726172,2896.66,255,1752,2846,0.01,0.0001,0.012975873425602913,179042,,
-16.92,729577,2916.73,255,1756,2859,0.01,0.0001,0.009706825017929077,179894,,
-16.93,732532,2911.19,255,1760,2871,0.01,0.0001,0.023877808824181557,180632,,
-16.78,736066,2943.65,255,1764,2884,0.01,0.0001,0.01475331000983715,181516,,
-16.81,738325,2924.6,255,1768,2893,0.01,0.0001,0.01730222813785076,182081,,
-16.87,741221,2905.84,255,1772,2904,0.01,0.0001,0.011681795120239258,182805,,
-16.88,743998,2900.4,255,1776,2915,0.01,0.0001,0.006270433776080608,183499,,
-16.89,747026,2906.15,255,1780,2927,0.01,0.0001,0.012467201799154282,184256,,
-16.82,749955,2911.64,255,1784,2938,0.01,0.0001,0.004969450179487467,184988,,
-16.73,753099,2913.75,255,1788,2951,0.01,0.0001,0.007562729995697737,185774,,
-16.67,756061,2900.48,255,1792,2962,0.01,0.0001,0.024383649230003357,186515,,
-16.66,758978,2901.27,255,1796,2974,0.01,0.0001,0.006504962220788002,187244,,
-16.66,762243,2922.77,255,1800,2987,0.01,0.0001,0.00784812681376934,188060,,
-16.75,765092,2917.4,255,1804,2997,0.01,0.0001,0.009243816137313843,188772,,
