time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
900,47104,23,52,88,0.042236328125,-1.7091971039772034,0.00024839085714285715,0.8328976631164551,0.5564999161288142,-0.0007261472928803414,-20.66,884.37,0.001454458,0.09935634285714286,0.22821934521198273,,
900,49152,24,54,92,0.08349609375,-1.6994419135153294,0.0002483177142857143,0.8703550100326538,0.5292035341262817,-0.001084480099962093,-20.65,891.31,0.0024924686,0.09932708571428572,0.21131719648838043,,
901,51200,25,56,96,0.041015625,-1.710171788930893,0.00024824457142857146,0.8648977279663086,0.5475067244842649,-0.0006909791700309142,-20.64,885.32,0.0022417288,0.09929782857142858,0.25373128056526184,,
902,53248,26,58,100,0.0540771484375,-1.6894672960042953,0.00024817142857142856,0.8762179017066956,0.4217377547174692,-0.0013971535372547805,-20.64,887.59,0.0021243363,0.09926857142857143,0.21573840081691742,,
903,55296,27,61,104,0.0994873046875,-1.7063967548310757,0.0002480982857142857,0.8902940154075623,0.4846474975347519,-0.0005825471598654985,-20.68,892.68,0.0011882079,0.0992393142857143,0.29660695791244507,,
903,57344,28,63,108,0.059814453125,-1.720124863088131,0.00024802514285714286,0.8828854560852051,0.3810030519962311,-0.0008262602786999196,-20.67,894.22,0.002258071,0.09921005714285715,0.16720262169837952,,
904,59392,29,65,112,0.0972900390625,-1.7268940061330795,0.000247952,0.9128734469413757,0.41663361992686987,-0.0013336982228793204,-20.65,893.74,0.0020232168,0.09918080000000001,0.15439718961715698,,
905,61440,30,67,116,0.060302734375,-1.7410776764154434,0.00024787885714285717,0.9083995223045349,0.32321455515921116,-0.0010396918223705143,-20.65,893.75,0.0015038378,0.09915154285714287,0.11870933324098587,,
905,63488,31,70,120,0.0802001953125,-1.711651735007763,0.0002478057142857143,0.9083325862884521,0.2729001292027533,-0.0011973839718848467,-20.61,887.77,0.002025145,0.09912228571428572,0.12546978890895844,,
906,65536,32,72,124,0.07080078125,-1.7067322507500648,0.00024773257142857147,0.9393687844276428,0.3301364164799452,-0.0010337902349419892,-20.61,889.04,0.0027131622,0.09909302857142858,0.1836235523223877,,
906,67584,33,74,128,0.0882568359375,-1.7107045724987984,0.00024765942857142857,0.901096761226654,0.27272871462628245,-0.0013804573682136834,-20.6,893.38,0.0015052215,0.09906377142857142,0.10530871152877808,,
907,69632,34,76,132,0.147705078125,-1.7191974334418774,0.0002475862857142857,0.9536570906639099,0.25271085230633616,-0.0020100665133213624,-20.61,895.56,0.0023603744,0.09903451428571429,0.0877455621957779,,
907,71680,35,78,136,0.0,-1.7227243818342686,0.0002475131428571429,0.958316445350647,0.26155516784638166,6.495148409157991e-05,-20.61,893.85,0.00077728566,0.09900525714285714,0.12444203346967697,,
908,73728,36,81,140,0.08447265625,-1.7200260870158672,0.00024744,0.9513881206512451,0.21714488230645657,-0.0011925715225515887,-20.63,890.59,0.002305164,0.09897600000000001,0.09422048926353455,,
909,75776,37,83,144,0.0882568359375,-1.7285467274487019,0.00024736685714285713,0.9569171667098999,0.22884172201156616,-0.0006436618423322216,-20.62,895.88,0.0014469088,0.09894674285714286,0.08481090515851974,,
909,77824,38,85,148,0.0948486328125,-1.7116795405745506,0.0002472937142857143,0.9555992484092712,0.20139860268682241,-0.0018403335707262158,-20.58,894.68,0.0028334558,0.09891748571428571,0.0632970929145813,,
909,79872,39,87,152,0.004638671875,-1.7120778001844883,0.00024722057142857143,0.9697062373161316,0.15595906227827072,-0.0004998686781618744,-20.59,886.55,0.0011623575,0.09888822857142858,0.04732896760106087,,
910,81920,40,90,156,0.0482177734375,-1.70929753780365,0.0002471474285714286,0.9657769203186035,0.1606284051667899,-0.0012536475551314652,-20.6,887.0,0.0017629468,0.09885897142857143,0.044793978333473206,,
910,83968,41,92,160,0.0863037109375,-1.7316200993955135,0.00024707428571428574,0.9770137071609497,0.17128741065971553,-0.002006131297093816,-20.61,890.68,0.0018438338,0.0988297142857143,0.07351738214492798,,
910,86016,42,94,164,0.1094970703125,-1.7193174250423908,0.0002470011428571429,0.9634730219841003,0.1813596598803997,-0.002686292980797589,-20.61,896.34,0.0027526869,0.09880045714285715,0.07424411922693253,,
910,88064,43,96,168,0.142333984375,-1.7081998065114021,0.000246928,0.9796226024627686,0.1507495087571442,-0.0011062953562941402,-20.65,896.07,0.0020317654,0.0987712,0.05149796977639198,,
910,90112,44,98,172,0.05078125,-1.7130649909377098,0.00024685485714285714,0.9677388072013855,0.1790164913982153,-0.00043616398761514574,-20.66,895.3,0.0022259157,0.09874194285714287,0.07108203321695328,,
911,92160,45,101,176,0.02197265625,-1.707582339644432,0.0002467817142857143,0.9608542323112488,0.17250693729147315,-0.0007023968064459041,-20.64,896.97,0.0019614645,0.09871268571428572,0.06651795655488968,,
911,94208,46,103,180,0.0213623046875,-1.716071929782629,0.0002467085714285714,0.9612292647361755,0.20380346104502678,0.0003264277911512181,-20.61,901.71,0.0012906215,0.09868342857142857,0.0680694431066513,,
911,96256,47,105,184,0.0693359375,-1.709830828011036,0.00024663542857142855,0.9647389054298401,0.1489817148540169,3.9027712773531675e-05,-20.58,902.97,0.0006208951,0.09865417142857143,0.05540949106216431,,
911,98304,48,107,188,0.05859375,-1.7155452854931355,0.0002465622857142857,0.9664449095726013,0.1801210273988545,-0.0012147949892096221,-20.55,902.94,0.0018757707,0.0986249142857143,0.08516550064086914,,
911,100352,49,110,192,0.019775390625,-1.7175466604530811,0.00024648914285714285,0.9759962558746338,0.12555254227481782,-0.0004214231303194538,-20.58,903.47,0.0018210318,0.09859565714285715,0.06267020106315613,,
911,102400,50,112,196,0.0301513671875,-1.6899545416235924,0.000246416,0.9788219332695007,0.12064013723284006,-0.0011721745104296133,-20.58,906.57,0.0012020876,0.0985664,0.039031315594911575,,
911,104448,51,114,200,0.0682373046875,-1.6915778070688248,0.00024634285714285716,0.9803981781005859,0.12219566130079329,-0.0015279416256817058,-20.59,904.01,0.0010265147,0.09853714285714286,0.05693988502025604,,
912,106496,52,116,204,0.0509033203125,-1.6745454706251621,0.0002462697142857143,0.973305344581604,0.17162826634012163,-0.000821296067442745,-20.6,903.91,0.001365639,0.09850788571428572,0.026017121970653534,,
912,108544,53,118,208,0.0242919921875,-1.6764025799930096,0.0002461965714285714,0.9724205732345581,0.15715161385014653,-0.0004094289615750313,-20.58,905.62,0.001078475,0.09847862857142858,0.04406028240919113,,
912,110592,54,121,212,0.0447998046875,-1.670988630503416,0.00024612342857142856,0.950788676738739,0.18979952950030565,-0.0015061681624501944,-20.55,914.6,0.0022287406,0.09844937142857144,0.08285321295261383,,
912,112640,55,123,216,0.0936279296875,-1.6728531569242477,0.0002460502857142857,0.9742462635040283,0.16094855777919292,-0.0023478861257899553,-20.53,916.85,0.0025036214,0.09842011428571429,0.04475127160549164,,
912,114688,56,125,220,0.038818359375,-1.67354117333889,0.00024597714285714287,0.9741348028182983,0.13066568598151207,-0.0017282954504480585,-20.57,922.8,0.001571337,0.09839085714285715,0.04891452565789223,,
