time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
3104,109.12,151552,336.48,48,74,,,,,,,,,,,,
3105,111.2,153600,344.8,49,75,0.0906982421875,0.21889859437942505,1880.4208984375,296,-0.7683746702969074,0.003044454235350713,3831.4251403808594,0.2,0.00025,0.0059409314,,
3105,111.44,155648,345.76,50,76,0.1468505859375,0.24131309986114502,1825.550537109375,300,-0.7295205071568489,0.00322523748036474,3415.1171112060547,0.2,0.00025,0.008530315,,
3106,112.48,157696,349.92,50,77,0.1168212890625,0.25509941577911377,1274.041259765625,304,-0.7998159974813461,0.0017396326293237507,3027.005905151367,0.2,0.00025,0.016891345,,
3107,113.36,159744,353.44,51,78,0.1201171875,0.22036266326904297,1529.608154296875,308,-0.9169966354966164,-0.003446623362833634,2931.147247314453,0.2,0.00025,0.008871639,,
3107,113.76,161792,355.04,52,79,0.105712890625,0.357455313205719,1766.2637939453125,312,-0.7935227043926716,0.0010412435804028064,3318.6072998046875,0.2,0.00025,0.0076268134,,
3108,114.4,163840,357.6,52,80,0.0487060546875,0.27286744117736816,1471.3282470703125,316,-0.7828208394348621,0.0015955291164573282,3085.0157012939453,0.2,0.00025,0.006465585,,
3108,112.48,165888,349.92,53,81,0.1405029296875,0.3134413957595825,1763.7496337890625,320,-0.7130545303225517,0.005122723785461858,3609.9703521728516,0.2,0.00025,0.0072612036,,
3109,106.96,167936,327.84,54,82,0.1864013671875,0.24999785423278809,2275.467529296875,324,-0.7829774916172028,0.009210598102072254,4593.00927734375,0.2,0.00025,0.022065282,,
3110,104.56,169984,318.24,54,83,0.1318359375,0.2996925711631775,1735.2017822265625,328,-0.5584904830902815,0.0031992741423891857,3907.4635162353516,0.2,0.00025,0.0044070138,,
3110,102.72,172032,310.88,55,84,0.09326171875,0.268679678440094,1764.4461669921875,332,-0.6860884912312031,0.0010564486146904528,3547.1275939941406,0.2,0.00025,0.0064590937,,
3111,100.24,174080,300.96,55,85,0.054443359375,0.26894330978393555,1733.20166015625,336,-0.6152023635804653,0.0002353926101932302,3543.954849243164,0.2,0.00025,0.003096514,,
3112,101.04,176128,304.16,56,86,0.2137451171875,0.33310651779174805,1488.496826171875,340,-0.6119433119893074,0.012190267618279904,2743.228759765625,0.2,0.00025,0.04177987,,
3112,100.32,178176,301.28,57,87,0.3885498046875,0.2206287980079651,1588.201904296875,344,-0.7509495951235294,0.01707167419954203,3314.375991821289,0.2,0.00025,0.03070909,,
3113,99.92,180224,299.68,57,88,0.170654296875,0.22335463762283325,1520.0108642578125,348,-0.5313661340624094,0.010423527797684073,3331.759811401367,0.2,0.00025,0.009624273,,
3113,100.16,182272,300.64,58,89,0.0872802734375,0.37001854181289673,1322.70751953125,352,-0.7660597711801529,0.001964763388969004,3035.780288696289,0.2,0.00025,0.004721416,,
3114,105.04,184320,320.16,59,90,0.0909423828125,0.25097620487213135,1181.1182861328125,356,-0.8088741898536682,0.0017694742564344779,2626.9324798583984,0.2,0.00025,0.027700033,,
3115,105.2,186368,320.8,59,91,0.0845947265625,0.3381597399711609,1086.253662109375,360,-0.7921334803104401,0.00040659517981112003,2408.2260513305664,0.2,0.00025,0.009078337,,
3115,106.4,188416,325.6,60,92,0.0394287109375,0.3370933532714844,1515.5552978515625,364,-0.7446410432457924,0.0015684522804804146,2827.7464904785156,0.2,0.00025,0.0040664086,,
3116,109.6,190464,338.4,61,93,0.075927734375,0.24639636278152466,1710.9169921875,368,-0.6388501413166523,0.003668061224743724,3080.988235473633,0.2,0.00025,0.009179898,,
3116,111.36,192512,345.44,61,94,0.0419921875,0.37469738721847534,1641.66259765625,372,-0.6230257302522659,0.00041342934127897024,3182.5196380615234,0.2,0.00025,0.004989206,,
3117,107.6,194560,330.4,62,95,0.0606689453125,0.42339152097702026,1465.1241455078125,376,-0.5274976640939713,0.0016578521172050387,2553.737648010254,0.2,0.00025,0.003929996,,
