time/episodes,time/total_timesteps,time/fps,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
588,125821,880,0.8754372100000001,142,-20.71,871.89,,,0.0001,6455,0.01147319283336401
592,126732,878,0.8745353199999999,144,-20.69,873.96,,,0.0001,6682,0.042238906025886536
596,127559,876,0.87371659,145,-20.69,870.76,,,0.0001,6889,0.02302323468029499
600,128415,874,0.8728691500000001,146,-20.69,871.8,,,0.0001,7103,0.012491847388446331
604,129312,872,0.8719811199999999,148,-20.68,872.44,,,0.0001,7327,0.012982241809368134
608,130181,870,0.8711208100000001,149,-20.66,874.8,,,0.0001,7545,0.004245078191161156
612,130991,868,0.87031891,150,-20.64,875.9,,,0.0001,7747,0.007157852873206139
616,131901,866,0.86941801,152,-20.64,877.95,,,0.0001,7975,0.007515893783420324
620,132831,864,0.8684973100000001,153,-20.63,882.15,,,0.0001,8207,0.01350961159914732
624,133599,862,0.86773699,154,-20.65,877.28,,,0.0001,8399,0.008817760273814201
628,134501,860,0.86684401,156,-20.65,878.48,,,0.0001,8625,0.012544624507427216
632,135436,859,0.8659183600000001,157,-20.65,880.9,,,0.0001,8858,0.02525155246257782
636,136252,857,0.86511052,158,-20.65,881.94,,,0.0001,9062,0.007122762501239777
640,137069,855,0.8643016900000001,160,-20.66,879.3,,,0.0001,9267,0.00801515020430088
644,137877,854,0.86350177,161,-20.66,876.92,,,0.0001,9469,0.020515691488981247
648,138688,852,0.8626988800000001,162,-20.68,874.85,,,0.0001,9671,0.010608306154608727
652,139570,851,0.8618257,163,-20.68,873.58,,,0.0001,9892,0.046430569142103195
656,140368,850,0.86103568,165,-20.69,870.85,,,0.0001,10091,0.007799438200891018
660,141297,848,0.8601159700000001,166,-20.69,874.21,,,0.0001,10324,0.00540080014616251
664,142122,846,0.8592992199999999,167,-20.68,873.35,,,0.0001,10530,0.05755293741822243
668,142993,845,0.8584369300000001,169,-20.7,874.0,,,0.0001,10748,0.02521638199687004
672,143821,843,0.85761721,170,-20.69,874.49,,,0.0001,10955,0.003702649148181081
676,144603,842,0.85684303,171,-20.69,873.61,,,0.0001,11150,0.011388271115720272
680,145418,840,0.8560361799999999,172,-20.69,873.81,,,0.0001,11354,0.006150019355118275
684,146266,839,0.85519666,174,-20.68,874.12,,,0.0001,11566,0.04476995766162872
688,147069,838,0.8544016899999999,175,-20.72,871.83,,,0.0001,11767,0.003480462124571204
692,148047,836,0.8534334699999999,176,-20.72,874.62,,,0.0001,12011,0.004359242506325245
696,149005,834,0.85248505,178,-20.69,879.86,,,0.0001,12251,0.01768861711025238
700,149820,833,0.8516781999999999,179,-20.69,878.06,,,0.0001,12454,0.0036320139188319445
704,150681,832,0.8508258099999999,181,-20.72,876.68,,,0.0001,12670,0.005497213453054428
708,151593,830,0.84992293,182,-20.72,878.27,,,0.0001,12898,0.007183976471424103
712,152424,829,0.8491002400000001,183,-20.74,878.72,,,0.0001,13105,0.008510380983352661
716,153347,828,0.8481864699999999,185,-20.75,879.52,,,0.0001,13336,0.022107377648353577
720,154230,827,0.8473122999999999,186,-20.77,877.53,,,0.0001,13557,0.004532491322606802
724,155117,825,0.84643417,187,-20.77,882.04,,,0.0001,13779,0.005733742378652096
728,155965,824,0.8455946500000001,189,-20.78,879.82,,,0.0001,13991,0.01920342817902565
732,156833,823,0.84473533,190,-20.79,876.88,,,0.0001,14208,0.03648398444056511
736,157688,822,0.84388888,191,-20.78,877.99,,,0.0001,14421,0.020797211676836014
740,158566,820,0.84301966,193,-20.75,880.2,,,0.0001,14641,0.007635138463228941
744,159345,819,0.8422484499999999,194,-20.76,879.07,,,0.0001,14836,0.02958122454583645
748,160255,818,0.8413475499999999,195,-20.77,882.99,,,0.0001,15063,0.006026755552738905
752,161135,817,0.84047635,197,-20.77,883.1,,,0.0001,15283,0.010159033350646496
756,161966,816,0.83965366,198,-20.77,884.46,,,0.0001,15491,0.006464928388595581
760,162813,815,0.83881513,199,-20.77,881.41,,,0.0001,15703,0.0066717518493533134
764,163659,814,0.8379775899999999,201,-20.78,882.51,,,0.0001,15914,0.010472020134329796
768,164507,812,0.8371380700000001,202,-20.78,881.57,,,0.0001,16126,0.02235903963446617
