time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
4032,3.57,73728,18,115.04,36,-0.0009007620683405548,140,0.00025,0.00053643005,0.2,0.7516720294952393,0.25040313694626093,0.11247733980417252,0.05078125,-0.8031212091445923,,
4034,3.66,75776,18,117.01,37,-0.0026271265232935548,144,0.00025,0.005575746,0.2,0.6742706298828125,0.2931911777704954,0.13113856315612793,0.0303955078125,-0.7909817919135094,,
4038,3.71,77824,19,116.59,38,-0.0018262138910358772,148,0.00025,0.0099002775,0.2,0.7160751819610596,0.2485798066481948,0.09965891391038895,0.0247802734375,-0.7645127326250076,,
4041,3.63,79872,19,116.0,39,-0.0012661615619435906,152,0.00025,0.0003323614,0.2,0.6488813161849976,0.2726059155538678,0.12926457822322845,0.0189208984375,-0.7837502360343933,,
4045,3.74,81920,20,115.05,40,-0.0010610018798615783,156,0.00025,0.0032575217,0.2,0.6734399795532227,0.32670215144753456,0.12299931049346924,0.0081787109375,-0.7522346824407578,,
4049,3.75,83968,20,115.53,41,-0.0022103834489826113,160,0.00025,0.0034347507,0.2,0.7321690320968628,0.2677284115925431,0.16594526171684265,0.0465087890625,-0.7415696978569031,,
4051,3.71,86016,21,115.14,42,-0.0036910746712237597,164,0.00025,0.0063486923,0.2,0.6094586253166199,0.38031164929270744,0.16014063358306885,0.078857421875,-0.776053961366415,,
4053,3.64,88064,21,114.76,43,-0.00028362072771415114,168,0.00025,0.01052682,0.2,0.6348429322242737,0.3610913697630167,0.17785929143428802,0.0291748046875,-0.7664414905011654,,
4055,3.66,90112,22,115.66,44,-0.0005924101278651506,172,0.00025,0.007682251,0.2,0.699365496635437,0.2595355957746506,0.10554009675979614,0.087646484375,-0.7811540625989437,,
4057,3.75,92160,22,115.92,45,-0.0028445954085327685,176,0.00025,0.008169827,0.2,0.6634368896484375,0.3107446748763323,0.1488378345966339,0.01513671875,-0.8059785887598991,,
4060,3.73,94208,23,115.02,46,-0.00129945800290443,180,0.00025,0.0020356427,0.2,0.6685683131217957,0.307565338909626,0.13482370972633362,0.0223388671875,-0.8072364442050457,,
4063,3.7,96256,23,114.54,47,-0.0013590847374871373,184,0.00025,0.0087199975,0.2,0.7097995281219482,0.2823008857667446,0.13273842632770538,0.0277099609375,-0.7911862954497337,,
4067,3.75,98304,24,115.45,48,0.002318539744010195,188,0.00025,0.015076686,0.2,0.6962107419967651,0.3007498010993004,0.13554760813713074,0.1104736328125,-0.7447631768882275,,
,,100000,,,,-0.0055834736849647015,192,0.00025,0.010897972,0.2,0.7031817436218262,0.33121150359511375,0.15434350073337555,0.1190185546875,-0.7727886997163296,102.5,2.7
3794,3.75,100352,26,114.86,49,,,,,,,,,,,,
3801,3.81,102400,26,116.72,50,-0.0022369350772351027,196,0.00025,0.0049239006,0.2,0.7107347249984741,0.3351506572216749,0.1656661033630371,0.0272216796875,-0.7617859803140163,,
3809,3.77,104448,27,117.23,51,-0.00556343182688579,200,0.00025,0.014376043,0.2,0.7411529421806335,0.29254849441349506,0.10715451836585999,0.2191162109375,-0.8326853923499584,,
3817,3.84,106496,27,118.31,52,-0.0009560216276440769,204,0.00025,0.0023600706,0.2,0.6838451623916626,0.2964017577469349,0.1415197104215622,0.0,-0.8481769226491451,,
3823,3.88,108544,28,118.85,53,-0.004411799483932555,208,0.00025,0.005013166,0.2,0.7538096308708191,0.252220943570137,0.10429109632968903,0.0347900390625,-0.8362655192613602,,
3829,3.85,110592,28,116.86,54,-0.0027813297347165644,212,0.00025,0.003039395,0.2,0.7255783081054688,0.2982858754694462,0.1319095641374588,0.015869140625,-0.8051108978688717,,
3836,3.93,112640,29,118.23,55,-0.0016807831125333905,216,0.00025,0.0033733544,0.2,0.6947223544120789,0.2830757964402437,0.10910184681415558,0.0281982421875,-0.8098534755408764,,
3843,4.11,114688,29,120.75,56,0.0019837247964460403,220,0.00025,0.010401085,0.2,0.618424654006958,0.4225204661488533,0.18840494751930237,0.0989990234375,-0.8108359389007092,,
3848,4.08,116736,30,120.54,57,-0.0006763892015442252,224,0.00025,0.0049619707,0.2,0.7071285247802734,0.29849150590598583,0.13645431399345398,0.0252685546875,-0.8259378373622894,,
3855,4.01,118784,30,120.05,58,-0.0010072502918774262,228,0.00025,0.004637088,0.2,0.7136166095733643,0.3439497724175453,0.15398627519607544,0.072021484375,-0.8258184604346752,,
3860,4.01,120832,31,118.4,59,-0.001300156320212409,232,0.00025,0.0035215279,0.2,0.7478278279304504,0.288314095698297,0.12504369020462036,0.04248046875,-0.8103007711470127,,
3866,3.97,122880,31,118.75,60,-0.0027119088626932353,236,0.00025,0.00444604,0.2,0.719712495803833,0.2922595925629139,0.10584543645381927,0.01806640625,-0.8050401732325554,,
3874,3.98,124928,32,119.29,61,-0.0005089340847916901,240,0.00025,0.005817107,0.2,0.6842592358589172,0.33977099135518074,0.1441613733768463,0.090087890625,-0.7833142392337322,,
3880,3.86,126976,32,116.88,62,-0.003220544313080609,244,0.00025,0.006108921,0.2,0.718538761138916,0.3095518499612808,0.12701630592346191,0.0208740234375,-0.7657827027142048,,
3886,3.96,129024,33,117.06,63,-0.002449046995025128,248,0.00025,0.0030319584,0.2,0.6278737783432007,0.3775409124791622,0.17317238450050354,0.0128173828125,-0.7487111687660217,,
3891,4.1,131072,33,119.17,64,0.002209528407547623,252,0.00025,0.0063176015,0.2,0.5904789566993713,0.3729055766016245,0.183988556265831,0.12353515625,-0.7208338268101215,,
3894,4.28,133120,34,122.53,65,-0.0018724611727520823,256,0.00025,0.0035438207,0.2,0.580453634262085,0.38445394672453403,0.16297951340675354,0.0338134765625,-0.7038744688034058,,
3898,4.33,135168,34,122.56,66,-0.0020770784467458725,260,0.00025,0.0038846768,0.2,0.6478776931762695,0.38549807108938694,0.1639886498451233,0.103271484375,-0.7323627024888992,,
3903,4.31,137216,35,122.05,67,7.376220310106874e-05,264,0.00025,0.0022580004,0.2,0.675386905670166,0.38530694507062435,0.17611068487167358,0.0101318359375,-0.7308010198175907,,
3907,4.36,139264,35,123.27,68,-0.0018881996511481702,268,0.00025,0.008152439,0.2,0.655900239944458,0.39978889003396034,0.16331236064434052,0.0865478515625,-0.704622570425272,,
3912,4.39,141312,36,123.35,69,-0.0013683838187716901,272,0.00025,0.0028949091,0.2,0.6590024828910828,0.34624124877154827,0.17714610695838928,0.0364990234375,-0.7144657000899315,,
3916,4.32,143360,36,123.66,70,-0.0037998435727786273,276,0.00025,0.005321387,0.2,0.6415090560913086,0.357264356687665,0.16536617279052734,0.119873046875,-0.680130023509264,,
