rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
112.88,12,6,2.99,24576,3795,0.0758056640625,-1.0776375010609627,0.16113878786563873,44,0.2,0.00025,0.6075534820556641,-0.001273865025723353,0.33715780079364777,0.010666559,,
112.93,13,6,3.11,26624,3826,0.0325927734375,-1.1038534194231033,0.16337850689888,48,0.2,0.00025,0.5427386164665222,-0.0019240314431954175,0.3748176842927933,0.014335094,,
113.08,14,7,3.28,28672,3849,0.0078125,-1.0736212134361267,0.12687578797340393,52,0.2,0.00025,0.6501811146736145,-0.0012996768055018038,0.3143353834748268,0.005132851,,
109.37,15,7,3.16,30720,3865,0.0654296875,-1.0568793341517448,0.17318516969680786,56,0.2,0.00025,0.6215090751647949,0.0002624228654894978,0.35639966279268265,0.011887225,,
109.25,16,8,3.18,32768,3886,0.086181640625,-1.1195224523544312,0.1073279082775116,60,0.2,0.00025,0.6943154335021973,-0.0034136782051064074,0.28586211055517197,0.008431108,,
107.45,17,8,3.07,34816,3899,0.02099609375,-1.0839613303542137,0.09574674069881439,64,0.2,0.00025,0.7189987897872925,-0.0019889875256922096,0.24868496600538492,0.008344896,,
104.06,18,9,2.93,36864,3919,0.2613525390625,-1.0138465277850628,0.11212612688541412,68,0.2,0.00025,0.6545662879943848,-0.00422090946813114,0.2823828049004078,0.004176734,,
102.09,19,9,2.84,38912,3931,0.1181640625,-1.0540062934160233,0.16378839313983917,72,0.2,0.00025,0.5526422262191772,-0.0012362579291220754,0.31125357188284397,0.013594253,,
102.52,20,10,2.92,40960,3941,0.1124267578125,-1.0301856026053429,0.10074878484010696,76,0.2,0.00025,0.6473851203918457,-0.004474912770092487,0.24796036910265684,0.0075221537,,
104.95,21,10,3.11,43008,3949,0.072509765625,-1.054758757352829,0.09797640889883041,80,0.2,0.00025,0.5836234092712402,-0.001871695858426392,0.26111943554133177,0.007098411,,
105.23,22,11,3.15,45056,3961,0.03076171875,-1.0263906866312027,0.11950814723968506,84,0.2,0.00025,0.6975325345993042,-0.0010441083286423236,0.2349841110408306,0.0080226995,,
107.21,23,11,3.2,47104,3964,0.01123046875,-0.9872302897274494,0.10468220710754395,88,0.2,0.00025,0.6637380123138428,-0.00017639296129345894,0.2539949016645551,0.009883905,,
109.31,24,12,3.29,49152,3973,0.086669921875,-1.0013621151447296,0.13811400532722473,92,0.2,0.00025,0.6590613126754761,-0.001304545090533793,0.30486980825662613,0.0026222644,,
111.02,25,12,3.41,51200,3981,0.0772705078125,-0.9748905152082443,0.1413126289844513,96,0.2,0.00025,0.6642206311225891,-0.002235586056485772,0.272286893799901,0.008419349,,
110.55,26,13,3.37,53248,3986,0.092529296875,-0.9938186220824718,0.13808590173721313,100,0.2,0.00025,0.6129659414291382,-0.0010604967537801713,0.30498907528817654,0.014547974,,
111.22,27,13,3.36,55296,3990,0.06787109375,-0.9774327501654625,0.07861462980508804,104,0.2,0.00025,0.7279959917068481,-0.0005754668381996453,0.23606817051768303,0.010292988,,
111.8,28,14,3.43,57344,3997,0.0103759765625,-0.9895312152802944,0.11020784080028534,108,0.2,0.00025,0.7045077085494995,-0.001020610041450709,0.26234119199216366,0.0015284611,,
115.52,29,14,3.6,59392,3999,0.02880859375,-0.9662651531398296,0.11031202971935272,112,0.2,0.00025,0.7037230730056763,-0.0015674552414566278,0.2699366305023432,0.008324518,,
117.87,30,15,3.68,61440,4006,0.05126953125,-0.9751525409519672,0.08303499221801758,116,0.2,0.00025,0.752066969871521,-0.002053216885542497,0.2344277063384652,0.00469294,,
119.34,31,15,3.71,63488,4010,0.0889892578125,-0.9491013586521149,0.14082977175712585,120,0.2,0.00025,0.6703497767448425,-0.0017925201682373881,0.3146319780498743,0.0077336133,,
120.0,32,16,3.81,65536,4010,0.056640625,-1.0121251195669174,0.12740245461463928,124,0.2,0.00025,0.6709856986999512,-0.0019185789569746703,0.2911484455689788,0.0050363555,,
120.49,33,16,3.86,67584,4014,0.13525390625,-0.9849781841039658,0.1599939465522766,128,0.2,0.00025,0.7040246725082397,-0.003919382957974449,0.31817636359483004,0.01433978,,
