time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
256000,-137.48,76,41.71,3339,125,0.1051025390625,0.0001,0.2,496,4684.707092285156,0.015590171,-0.0011362541117705405,-1.2681751251220703,2369.568359375,0.13499462604522705,,
258048,-149.17,77,43.84,3344,126,0.2364501953125,0.0001,0.2,500,4475.648986816406,0.01003706,0.00431431204196997,-1.2866734638810158,1948.9093017578125,0.1655990481376648,,
260096,-195.0,77,51.79,3348,127,0.171630859375,0.0001,0.2,504,3629.418975830078,0.014669229,0.004016615450382233,-1.242957428097725,1853.29931640625,0.25181788206100464,,
262144,-183.49,78,50.96,3352,128,0.0733642578125,0.0001,0.2,508,2595.1553497314453,0.009630618,-0.0005009568994864821,-1.1665494740009308,1200.358154296875,0.2872422933578491,,
264192,-162.42,78,47.26,3356,129,0.150634765625,0.0001,0.2,512,3523.5729064941406,0.006128286,0.006409952649846673,-1.104832224547863,1660.48388671875,0.3680712580680847,,
266240,-170.08,79,47.69,3360,130,0.088134765625,0.0001,0.2,516,2886.544891357422,0.00492132,0.0007614317582920194,-1.1221743524074554,1521.395751953125,0.3479310870170593,,
268288,-150.79,79,44.76,3364,131,0.1795654296875,0.0001,0.2,520,2887.8995056152344,0.012311546,0.003883466008119285,-1.1037072017788887,1429.0185546875,0.4342227578163147,,
270336,-138.36,80,42.31,3368,132,0.1072998046875,0.0001,0.2,524,2785.267288208008,0.011089084,-0.0026699336885940284,-1.1496691331267357,1152.1048583984375,0.5442555546760559,,
272384,-118.88,80,37.93,3371,133,0.128173828125,0.0001,0.2,528,2822.716842651367,0.0056102457,-0.0013735444808844477,-1.1572203636169434,1349.777099609375,0.49886906147003174,,
274432,-132.21,81,39.79,3374,134,0.0994873046875,0.0001,0.2,532,2817.006134033203,0.007382702,-0.0024436523381154984,-1.20650864392519,1374.576904296875,0.4575871229171753,,
274912,,,,,,0.0574951171875,0.0001,0.2,536,2606.0411682128906,0.008237004,-0.002896177174989134,-1.176361083984375,1219.822021484375,0.42817091941833496,61.2,-255.95
