time/fps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/n_updates,train/loss
942,877.98,492,0.8952956200000001,112,105762,-20.65,,,0.0001,1440,0.015710927546024323
939,875.46,496,0.89448976,113,106576,-20.67,,,0.0001,1643,0.05327976495027542
936,877.55,500,0.8935878700000002,114,107487,-20.63,,,0.0001,1871,0.01663956046104431
933,876.62,504,0.8927236,116,108360,-20.63,,,0.0001,2089,0.00873691774904728
929,878.11,508,0.8918672500000001,117,109225,-20.62,,,0.0001,2306,0.011408546939492226
926,878.28,512,0.89102476,118,110076,-20.61,,,0.0001,2518,0.03986189514398575
923,881.22,516,0.8900921799999999,120,111018,-20.6,,,0.0001,2754,0.00930858962237835
921,880.82,520,0.8892863200000001,121,111832,-20.6,,,0.0001,2957,0.003836908610537648
918,880.5,524,0.88846165,122,112665,-20.62,,,0.0001,3166,0.008826221339404583
914,884.23,528,0.8875746099999999,124,113561,-20.6,,,0.0001,3390,0.041685327887535095
911,884.37,532,0.8867143,125,114430,-20.59,,,0.0001,3607,0.015971610322594643
909,881.42,536,0.8859074499999999,126,115245,-20.6,,,0.0001,3811,0.006047219969332218
906,879.5,540,0.8851114899999999,127,116049,-20.62,,,0.0001,4012,0.005503503140062094
903,883.06,544,0.88413733,129,117033,-20.59,,,0.0001,4258,0.006080852821469307
901,889.53,548,0.88317604,130,118004,-20.58,,,0.0001,4500,0.017395980656147003
898,889.24,552,0.8822820699999999,132,118907,-20.58,,,0.0001,4726,0.0035247390624135733
896,888.95,556,0.8814574000000001,133,119740,-20.58,,,0.0001,4934,0.006550738587975502
893,886.11,560,0.8806198599999999,134,120586,-20.59,,,0.0001,5146,0.0062774550169706345
891,889.3,564,0.87973183,136,121483,-20.57,,,0.0001,5370,0.024730226024985313
889,885.8,568,0.87893884,137,122284,-20.59,,,0.0001,5570,0.03173719346523285
887,884.13,572,0.8781300100000001,138,123101,-20.59,,,0.0001,5775,0.02876240760087967
884,884.94,576,0.8772350500000001,140,124005,-20.6,,,0.0001,6001,0.009099634364247322
882,890.86,580,0.8762658400000001,141,124984,-20.6,,,0.0001,6245,0.031340502202510834
880,887.45,584,0.8754985900000001,142,125759,-20.6,,,0.0001,6439,0.024152696132659912
878,888.92,588,0.8746778800000001,144,126588,-20.59,,,0.0001,6646,0.016156945377588272
876,890.51,592,0.87381262,145,127462,-20.59,,,0.0001,6865,0.01662532612681389
874,892.56,596,0.8729592399999999,146,128324,-20.57,,,0.0001,7080,0.023162757977843285
872,889.59,600,0.87212764,147,129164,-20.6,,,0.0001,7290,0.00634453259408474
870,889.06,604,0.8712831699999999,149,130017,-20.59,,,0.0001,7504,0.004964139312505722
868,889.45,608,0.8704189,150,130890,-20.59,,,0.0001,7722,0.013210330158472061
866,887.38,612,0.86962591,151,131691,-20.6,,,0.0001,7922,0.010264873504638672
864,885.27,616,0.8687477799999999,153,132578,-20.62,,,0.0001,8144,0.00961480662226677
863,886.89,620,0.8679062800000001,154,133428,-20.61,,,0.0001,8356,0.00437244912609458
861,890.14,624,0.86700142,155,134342,-20.57,,,0.0001,8585,0.004138586577028036
859,886.51,628,0.8662034799999999,157,135148,-20.58,,,0.0001,8786,0.004272472113370895
857,887.36,632,0.8653035699999999,158,136057,-20.55,,,0.0001,9014,0.02914361096918583
