time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
38305,16,468,0.13,2315,0.909025625,81.33,,,,,
38602,16,472,0.11,2314,0.9083202499999999,80.63,,,,,
38938,16,476,0.11,2313,0.9075222500000002,80.89,,,,,
39242,16,480,0.11,2313,0.90680025,80.96,,,,,
39538,17,484,0.09,2314,0.9060972499999999,80.99,,,,,
39896,17,488,0.1,2314,0.9052470000000001,81.41,,,,,
40205,17,492,0.09,2309,0.9045131249999999,80.79,,,,,
40509,17,496,0.11,2309,0.9037911250000003,80.75,,,,,
40809,17,500,0.13,2309,0.9030786249999998,80.67,,,,,
41116,17,504,0.12,2310,0.9023495000000001,80.03,,,,,
41457,17,508,0.16,2311,0.9015396249999998,80.28,,,,,
41824,18,512,0.2,2305,0.9006679999999998,81.05,,,,,
42184,18,516,0.19,2307,0.899813,81.73,,,,,
42551,18,520,0.21,2308,0.8989413749999999,82.33,,,,,
42850,18,524,0.18,2309,0.8982312499999999,81.86,,,,,
43133,18,528,0.19,2309,0.8975591249999998,81.82,,,,,
43439,18,532,0.14,2308,0.896832375,81.27,,,,,
43718,18,536,0.13,2309,0.8961697500000002,80.35,,,,,
44035,19,540,0.12,2310,0.8954168749999999,79.63,,,,,
44331,19,544,0.13,2312,0.8947138750000002,79.53,,,,,
44618,19,548,0.12,2311,0.8940322499999999,79.21,,,,,
44932,19,552,0.11,2311,0.8932865000000001,79.08,,,,,
45287,19,556,0.13,2310,0.8924433749999998,79.55,,,,,
45648,19,560,0.15,2312,0.8915860000000002,80.23,,,,,
46013,19,564,0.15,2313,0.8907191249999998,80.36,,,,,
46320,20,568,0.14,2314,0.8899900000000002,80.15,,,,,
46654,20,572,0.19,2312,0.8891967500000001,80.52,,,,,
46981,20,576,0.18,2312,0.8884201250000001,80.43,,,,,
47293,20,580,0.17,2309,0.8876791249999999,80.51,,,,,
47600,20,584,0.17,2308,0.8869499999999998,80.62,,,,,
47945,20,588,0.15,2309,0.8861306250000003,80.49,,,,,
48321,20,592,0.17,2310,0.8852376249999998,81.16,,,,,
48616,21,596,0.16,2311,0.884537,81.07,,,,,
48928,21,600,0.13,2313,0.8837959999999998,81.19,,,,,
49233,21,604,0.13,2311,0.8830716249999998,81.17,,,,,
49532,21,608,0.08,2312,0.8823615000000002,80.75,,,,,
49838,21,612,0.04,2308,0.8816347499999999,80.14,,,,,
50202,22,616,0.07,2245,0.8807702499999999,80.18,0.03272628039121628,0.0001,50,,
50514,22,620,0.06,2201,0.8800292500000001,79.63,0.015488406643271446,0.0001,128,,
50832,23,624,0.08,2157,0.879274,79.82,2.014293204410933e-05,0.0001,207,,
51211,24,628,0.1,2109,0.8783738750000003,80.78,5.072508429293521e-05,0.0001,302,,
51569,24,632,0.14,2063,0.877523625,81.3,0.03300756216049194,0.0001,392,,
51835,25,636,0.09,2030,0.8768918749999999,81.17,2.5118612029473297e-05,0.0001,458,,
52203,26,640,0.07,1992,0.8760178750000001,81.68,0.05176933482289314,0.0001,550,,
52517,26,644,0.11,1954,0.8752721250000002,81.86,0.015627823770046234,0.0001,629,,
52860,27,648,0.15,1923,0.8744575000000002,82.42,0.01562923565506935,0.0001,714,,
53193,28,652,0.18,1889,0.8736666249999999,82.61,0.00014089234173297882,0.0001,798,,
53469,28,656,0.17,1857,0.873011125,81.82,0.01739455759525299,0.0001,867,,
53791,29,660,0.18,1826,0.8722463750000002,81.43,0.019602946937084198,0.0001,947,,
54100,30,664,0.15,1800,0.8715124999999999,80.87,0.00010577968350844458,0.0001,1024,,
54439,30,668,0.15,1770,0.8707073750000003,81.19,6.831379141658545e-05,0.0001,1109,,
54715,31,672,0.1,1744,0.8700518749999999,80.61,0.01429461594671011,0.0001,1178,,
55036,31,676,0.1,1724,0.8692894999999998,80.55,0.015753796324133873,0.0001,1258,,
55351,32,680,0.09,1703,0.8685413750000002,80.58,0.0002364074462093413,0.0001,1337,,
55600,32,684,0.09,1688,0.8679499999999998,80.0,0.00023603811860084534,0.0001,1399,,
55887,33,688,0.05,1669,0.867268375,79.42,0.0004542191163636744,0.0001,1471,,
56226,34,692,0.06,1644,0.8664632499999998,79.05,0.0007434120634570718,0.0001,1556,,
56555,34,696,0.04,1624,0.8656818750000002,79.39,0.014608421362936497,0.0001,1638,,
56843,35,700,0.04,1607,0.864997875,79.15,0.015603028237819672,0.0001,1710,,
57152,35,704,0.0,1588,0.8642639999999998,79.19,0.00041452402365393937,0.0001,1787,,
57487,36,708,0.03,1567,0.8634683749999998,79.55,0.000248724187258631,0.0001,1871,,
57820,37,712,0.06,1549,0.8626775000000001,79.82,0.00022875526337884367,0.0001,1954,,
58105,37,716,0.06,1533,0.8620006249999999,79.03,0.013831324875354767,0.0001,2026,,
58441,38,720,0.04,1515,0.8612026250000001,79.27,0.0002765466633718461,0.0001,2110,,
58772,39,724,0.02,1497,0.8604164999999999,79.4,0.00022838132281322032,0.0001,2192,,
59089,39,728,-0.01,1480,0.8596636250000002,78.78,0.015972932800650597,0.0001,2272,,
59432,40,732,0.0,1466,0.8588490000000002,78.63,0.0005664085038006306,0.0001,2357,,
59743,41,736,0.04,1450,0.8581103749999998,79.08,0.0004536407650448382,0.0001,2435,,
60083,41,740,0.05,1433,0.8573028749999998,78.8,0.0008214471163228154,0.0001,2520,,
60491,42,744,0.06,1418,0.8563338749999998,79.74,0.0006465768674388528,0.0001,2622,,
60802,43,748,0.04,1403,0.8555952499999999,79.42,0.0004902791697531939,0.0001,2700,,
61133,43,752,0.02,1390,0.8548091249999998,79.4,0.010934914462268353,0.0001,2783,,
61456,44,756,0.03,1376,0.8540420000000002,79.87,0.00042322406079620123,0.0001,2863,,
61765,45,760,0.01,1365,0.8533081249999999,79.74,0.0014378726482391357,0.0001,2941,,
