time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
881,868.89,0.8377842571428573,130,114698,536,-20.69,,,0.0001,3674,0.03486272320151329
878,867.48,0.8366415142857148,131,115506,540,-20.7,,,0.0001,3876,0.02091505192220211
875,872.87,0.8352357142857139,132,116500,544,-20.67,,,0.0001,4124,0.01061158999800682
872,875.61,0.8338935571428576,134,117449,548,-20.62,,,0.0001,4362,0.025915343314409256
870,875.98,0.8327013142857147,135,118292,552,-20.62,,,0.0001,4572,0.029265303164720535
867,876.83,0.8315119,137,119133,556,-20.62,,,0.0001,4783,0.01606721058487892
865,878.89,0.8302362142857141,138,120035,560,-20.63,,,0.0001,5008,0.0467892661690712
863,876.38,0.829099128571429,139,120839,564,-20.63,,,0.0001,5209,0.02227635867893696
861,873.64,0.827885671428571,141,121697,568,-20.65,,,0.0001,5424,0.014660893008112907
858,873.88,0.8267146428571432,142,122525,572,-20.64,,,0.0001,5631,0.020944900810718536
856,873.65,0.8255393714285716,143,123356,576,-20.64,,,0.0001,5838,0.021353090181946754
854,878.93,0.8242325714285713,145,124280,580,-20.61,,,0.0001,6069,0.01470518670976162
852,879.91,0.8229979000000003,146,125153,584,-20.63,,,0.0001,6288,0.035173580050468445
849,879.65,0.8218495000000002,148,125965,588,-20.64,,,0.0001,6491,0.017790675163269043
847,879.77,0.8205936142857139,149,126853,592,-20.65,,,0.0001,6713,0.01664997823536396
845,881.33,0.8193447999999997,151,127736,596,-20.63,,,0.0001,6933,0.0282282717525959
843,878.97,0.8182275142857139,152,128526,600,-20.63,,,0.0001,7131,0.008444184437394142
841,880.18,0.8169037428571424,153,129462,604,-20.65,,,0.0001,7365,0.007418068591505289
839,881.99,0.8156860428571426,155,130323,608,-20.66,,,0.0001,7580,0.043758708983659744
837,881.24,0.8144937999999997,156,131166,612,-20.65,,,0.0001,7791,0.005272869486361742
834,882.25,0.8132732714285716,158,132029,616,-20.63,,,0.0001,8007,0.007276623509824276
832,888.16,0.8119424285714281,159,132970,620,-20.58,,,0.0001,8242,0.016214311122894287
830,885.21,0.8108322142857145,160,133755,624,-20.6,,,0.0001,8438,0.03515855595469475
829,884.39,0.8096145142857146,162,134616,628,-20.63,,,0.0001,8653,0.004932272247970104
827,886.79,0.808367114285714,163,135498,632,-20.62,,,0.0001,8874,0.020539958029985428
825,886.66,0.8072286142857142,165,136303,636,-20.62,,,0.0001,9075,0.020146911963820457
823,885.47,0.8061325428571426,166,137078,640,-20.62,,,0.0001,9269,0.02966814488172531
822,878.36,0.804975657142857,167,137896,644,-20.65,,,0.0001,9473,0.005884513258934021
820,874.55,0.8037834142857141,169,138739,648,-20.7,,,0.0001,9684,0.00602614926174283
818,877.55,0.802483685714286,170,139658,652,-20.68,,,0.0001,9914,0.024893922731280327
816,877.4,0.8012857857142855,172,140505,656,-20.67,,,0.0001,10126,0.020660152658820152
814,876.01,0.8000539428571427,173,141376,660,-20.66,,,0.0001,10343,0.016375131905078888
813,877.97,0.7988433142857138,174,142232,664,-20.65,,,0.0001,10557,0.029277967289090157
811,876.15,0.7977076428571432,176,143035,668,-20.65,,,0.0001,10758,0.002944753272458911
809,880.12,0.7963881142857147,177,143968,672,-20.64,,,0.0001,10991,0.019715694710612297
