time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/exploration_rate,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/n_updates
656,-20.79,865.46,313,139989,446,0.8020155571428575,,,0.0001,0.018880056217312813,9997
660,-20.76,866.26,317,140879,444,0.8007568428571431,,,0.0001,0.02015776000916958,10219
664,-20.77,863.76,319,141715,443,0.7995745000000004,,,0.0001,0.04916572943329811,10428
668,-20.78,859.7,322,142583,441,0.7983469000000003,,,0.0001,0.06952313333749771,10645
672,-20.77,861.94,326,143477,439,0.7970825285714283,,,0.0001,0.042600564658641815,10869
676,-20.77,863.36,328,144367,439,0.7958238142857138,,,0.0001,0.14783981442451477,11091
680,-20.76,866.49,331,145278,438,0.7945353999999996,,,0.0001,0.045439768582582474,11319
684,-20.77,863.78,334,146079,436,0.7934025571428572,,,0.0001,0.07739528268575668,11519
688,-20.75,866.12,337,146952,435,0.7921678857142861,,,0.0001,0.057269930839538574,11737
692,-20.74,868.06,340,147797,433,0.7909728142857139,,,0.0001,0.007535995915532112,11949
696,-20.72,872.46,344,148729,431,0.7896546999999998,,,0.0001,0.05440733581781387,12182
700,-20.72,873.69,347,149558,430,0.7884822571428576,,,0.0001,0.06843259185552597,12389
704,-20.71,873.49,350,150405,429,0.7872843571428572,,,0.0001,0.04434487968683243,12601
708,-20.71,872.45,353,151316,428,0.7859959428571428,,,0.0001,0.11904068291187286,12828
712,-20.73,872.03,356,152148,426,0.7848192571428566,,,0.0001,0.02841901406645775,13036
716,-20.73,873.27,359,152977,425,0.7836468142857143,,,0.0001,0.03035002574324608,13244
720,-20.73,875.62,363,153840,423,0.7824262857142863,,,0.0001,0.017256826162338257,13459
724,-20.72,876.42,366,154712,422,0.7811930285714286,,,0.0001,0.18010252714157104,13677
728,-20.73,877.44,369,155550,420,0.7800078571428568,,,0.0001,0.015452158637344837,13887
732,-20.73,879.25,372,156418,420,0.7787802571428566,,,0.0001,0.03154697269201279,14104
736,-20.7,881.29,375,157315,418,0.7775116428571429,,,0.0001,0.03853362426161766,14328
740,-20.7,880.58,378,158140,417,0.776344857142857,,,0.0001,0.04386669397354126,14534
744,-20.67,883.04,382,159025,415,0.7750932142857145,,,0.0001,0.042087770998477936,14756
748,-20.68,882.22,384,159827,415,0.7739589571428576,,,0.0001,0.0581631176173687,14956
752,-20.68,882.36,387,160658,414,0.7727836857142859,,,0.0001,0.03625698760151863,15164
756,-20.66,883.38,390,161560,413,0.7715080000000001,,,0.0001,0.12800496816635132,15389
760,-20.68,883.6,393,162451,412,0.770247871428571,,,0.0001,0.09965082257986069,15612
764,-20.65,886.03,396,163342,411,0.7689877428571429,,,0.0001,0.017719153314828873,15835
768,-20.65,886.5,400,164222,410,0.7677431714285714,,,0.0001,0.05095011740922928,16055
772,-20.65,885.71,403,165096,409,0.7665070857142857,,,0.0001,0.07173800468444824,16273
776,-20.63,885.77,405,165988,409,0.765245542857143,,,0.0001,0.13609734177589417,16496
780,-20.65,881.35,407,166786,408,0.7641169428571424,,,0.0001,0.016830310225486755,16696
784,-20.66,885.25,410,167689,408,0.762839842857143,,,0.0001,0.057097699493169785,16922
788,-20.68,882.12,412,168477,407,0.7617253857142856,,,0.0001,0.01982460729777813,17119
792,-20.65,885.15,415,169395,407,0.760427071428571,,,0.0001,0.01727762259542942,17348
796,-20.67,880.78,418,170230,406,0.7592461428571431,,,0.0001,0.26566407084465027,17557
800,-20.67,881.01,421,171060,405,0.7580722857142861,,,0.0001,0.01504300907254219,17764
804,-20.68,878.83,424,171848,405,0.7569578285714286,,,0.0001,0.1200464591383934,17961
808,-20.69,874.79,427,172657,403,0.7558136714285714,,,0.0001,0.13947853446006775,18164
812,-20.68,875.68,430,173501,403,0.7546200142857138,,,0.0001,0.03165475279092789,18375
816,-20.69,874.56,433,174302,402,0.7534871714285716,,,0.0001,0.021023383364081383,18575
820,-20.68,872.87,436,175125,401,0.7523232142857148,,,0.0001,0.12470407783985138,18781
824,-20.69,872.45,438,175990,401,0.7510998571428575,,,0.0001,0.13784830272197723,18997
828,-20.68,871.8,441,176811,400,0.749938728571429,,,0.0001,0.04284568130970001,19202
832,-20.69,870.51,444,177647,399,0.7487563857142853,,,0.0001,0.036937832832336426,19411
836,-20.7,867.97,447,178477,398,0.7475825285714284,,,0.0001,0.03522045537829399,19619
840,-20.7,867.3,450,179285,397,0.7464397857142857,,,0.0001,0.006067277397960424,19821
844,-20.7,867.12,454,180165,396,0.7451952142857143,,,0.0001,0.02113601379096508,20041
848,-20.68,868.14,456,180999,396,0.7440156999999998,,,0.0001,0.10250282287597656,20249
852,-20.68,871.44,460,181918,395,0.7427159714285717,,,0.0001,0.025202713906764984,20479
856,-20.69,869.6,463,182768,394,0.7415138285714286,,,0.0001,0.12429878115653992,20691
860,-20.68,870.29,465,183673,394,0.7402338999999999,,,0.0001,0.0075182002037763596,20918
864,-20.71,869.05,468,184536,393,0.7390133714285718,,,0.0001,0.009868849068880081,21133
868,-20.71,868.33,471,185399,393,0.7377928428571427,,,0.0001,0.019861888140439987,21349
872,-20.71,865.32,474,186191,392,0.736672728571429,,,0.0001,0.011263164691627026,21547
876,-20.73,864.0,477,187052,391,0.7354550285714291,,,0.0001,0.03779137134552002,21762
880,-20.73,864.72,480,187864,391,0.734306628571429,,,0.0001,0.01238868199288845,21965
884,-20.73,861.96,483,188697,390,0.7331285285714282,,,0.0001,0.01749989576637745,22174
888,-20.72,864.57,486,189560,389,0.7319080000000001,,,0.0001,0.03770563006401062,22389
892,-20.76,862.22,489,190420,388,0.7306917142857138,,,0.0001,0.13487441837787628,22604
896,-20.77,860.08,492,191193,388,0.7295984714285715,,,0.0001,0.006766403093934059,22798
900,-20.76,861.13,496,192052,387,0.7283835999999999,,,0.0001,0.02265925332903862,23012
904,-20.76,863.25,499,192901,386,0.7271828714285713,,,0.0001,0.009224006906151772,23225
908,-20.73,866.41,502,193785,385,0.7259326428571424,,,0.0001,0.013514639809727669,23446
912,-20.74,863.93,505,194567,384,0.7248266714285717,,,0.0001,0.02864638902246952,23641
916,-20.74,865.43,508,195410,383,0.7236344285714288,,,0.0001,0.012468302622437477,23852
920,-20.73,867.74,511,196291,383,0.7223884428571428,,,0.0001,0.016942042857408524,24072
924,-20.73,867.99,514,197149,382,0.7211749857142857,,,0.0001,0.19938354194164276,24287
928,-20.72,872.4,517,198078,382,0.7198611142857145,,,0.0001,0.007862035185098648,24519
932,-20.73,872.85,520,198911,382,0.7186830142857147,,,0.0001,0.009093763306736946,24727
936,-20.75,871.5,523,199704,381,0.7175614857142862,,,0.0001,0.011209562420845032,24925
,,,,200000,,0.7171442714285717,764.0,-21.0,0.0001,0.01750904694199562,24999
940,-20.75,873.57,532,200564,376,0.7163451999999999,,,0.0001,0.048753440380096436,25140
944,-20.78,870.91,535,201375,376,0.7151982142857145,,,0.0001,0.005370861850678921,25343
948,-20.8,870.84,538,202214,375,0.7140116285714291,,,0.0001,0.01203945092856884,25553
952,-20.79,869.59,541,203103,374,0.7127543285714281,,,0.0001,0.007218876853585243,25775
956,-20.79,871.45,544,204003,374,0.7114814714285715,,,0.0001,0.02367333322763443,26000
960,-20.81,868.31,548,204832,373,0.7103090285714282,,,0.0001,0.019551832228899002,26207
964,-20.82,866.17,550,205639,373,0.7091677000000001,,,0.0001,0.009114972315728664,26409
968,-20.81,869.54,553,206580,372,0.7078368571428577,,,0.0001,0.024505145847797394,26644
972,-20.81,871.75,557,207435,372,0.7066276428571423,,,0.0001,0.022970419377088547,26858
976,-20.81,871.1,560,208265,371,0.7054537857142854,,,0.0001,0.007658279035240412,27066
980,-20.81,871.56,564,209102,370,0.7042700285714281,,,0.0001,0.008777735754847527,27275
984,-20.8,871.17,567,209923,370,0.7031088999999996,,,0.0001,0.009146446362137794,27480
988,-20.78,872.84,570,210825,369,0.7018332142857138,,,0.0001,0.012973862700164318,27706
992,-20.75,873.69,573,211707,369,0.7005858142857142,,,0.0001,0.014462156221270561,27926
996,-20.75,874.54,575,212505,369,0.6994572142857147,,,0.0001,0.012164762243628502,28126
1000,-20.76,876.25,578,213397,368,0.698195671428572,,,0.0001,0.017546460032463074,28349
1004,-20.74,878.08,582,214284,368,0.6969412000000004,,,0.0001,0.038806769996881485,28570
1008,-20.74,877.94,584,215165,368,0.6956952142857142,,,0.0001,0.02113385871052742,28791
1012,-20.74,878.37,586,215964,367,0.6945652000000001,,,0.0001,0.009237433783710003,28990
1016,-20.74,876.56,590,216759,367,0.6934408428571424,,,0.0001,0.008203020319342613,29189
1020,-20.75,872.87,592,217555,366,0.6923150714285711,,,0.0001,0.006169191561639309,29388
1024,-20.75,871.17,595,218378,366,0.6911511142857143,,,0.0001,0.030269887298345566,29594
1028,-20.75,867.96,599,219227,365,0.6899503857142858,,,0.0001,0.024918247014284134,29806
1032,-20.74,868.33,602,220078,365,0.6887468285714291,,,0.0001,0.004126234445720911,30019
1036,-20.72,873.14,605,221001,365,0.6874414428571425,,,0.0001,0.01374030951410532,30250
1040,-20.71,873.39,608,221872,364,0.6862096000000005,,,0.0001,0.005986236035823822,30467
1044,-20.68,874.93,611,222725,364,0.6850032142857145,,,0.0001,0.18371576070785522,30681
1048,-20.65,876.95,615,223603,363,0.6837614714285714,,,0.0001,0.0035158114042133093,30900
1052,-20.65,877.64,618,224501,362,0.6824914428571429,,,0.0001,0.012472059577703476,31125
1056,-20.66,875.87,622,225358,362,0.6812793999999995,,,0.0001,0.013477636501193047,31339
1060,-20.66,875.5,625,226169,361,0.6801324142857141,,,0.0001,0.010157167911529541,31542
1064,-20.66,875.55,627,226976,361,0.678991085714286,,,0.0001,0.0047944155521690845,31743
1068,-20.68,870.42,630,227789,361,0.6778412714285715,,,0.0001,0.018988946452736855,31947
1072,-20.69,867.68,633,228579,360,0.6767239857142857,,,0.0001,0.004202840384095907,32144
1076,-20.66,870.97,636,229508,360,0.6754101142857145,,,0.0001,0.009685687720775604,32376
1080,-20.65,872.48,640,230365,359,0.6741980714285711,,,0.0001,0.17571116983890533,32591
1084,-20.66,873.67,643,231210,359,0.673003,,,0.0001,0.00705672288313508,32802
1088,-20.68,873.08,647,232095,358,0.6717513571428575,,,0.0001,0.007066634483635426,33023
1092,-20.71,870.91,650,232923,358,0.6705803285714288,,,0.0001,0.009748886339366436,33230
1096,-20.7,873.59,652,233786,358,0.6693597999999996,,,0.0001,0.004806857090443373,33446
1100,-20.69,870.93,656,234614,357,0.6681887714285719,,,0.0001,0.006617813371121883,33653
1104,-20.69,869.15,659,235452,356,0.6670036,,,0.0001,0.02330954186618328,33862
1108,-20.72,869.44,663,236337,356,0.6657519571428576,,,0.0001,0.01767125353217125,34084
1112,-20.71,871.84,665,237197,356,0.6645356714285713,,,0.0001,0.006931825075298548,34299
1116,-20.7,874.46,668,238063,355,0.6633109000000005,,,0.0001,0.010493802838027477,34515
1120,-20.71,874.12,671,238846,355,0.662203514285714,,,0.0001,0.10848092287778854,34711
1124,-20.72,875.02,674,239687,355,0.6610141000000004,,,0.0001,0.09198526293039322,34921
1128,-20.73,875.54,677,240545,354,0.6598006428571433,,,0.0001,0.008544053882360458,35136
1132,-20.74,873.16,681,241343,354,0.6586720428571428,,,0.0001,0.010363023728132248,35335
1136,-20.75,869.09,684,242160,353,0.6575165714285718,,,0.0001,0.009576517157256603,35539
1140,-20.72,869.33,687,243027,353,0.6562903857142862,,,0.0001,0.004863017238676548,35756
1144,-20.74,868.83,690,243860,352,0.6551122857142853,,,0.0001,0.0068918573670089245,35964
1148,-20.76,865.75,693,244660,352,0.6539808571428577,,,0.0001,0.052506156265735626,36164
1152,-20.76,864.41,697,245525,352,0.6527575000000003,,,0.0001,0.15517349541187286,36381
1156,-20.76,863.2,700,246357,351,0.6515808142857141,,,0.0001,0.006913913879543543,36589
1160,-20.74,862.58,703,247165,351,0.6504380714285715,,,0.0001,0.021668124943971634,36791
1164,-20.72,866.97,706,248086,350,0.649135514285714,,,0.0001,0.01923295482993126,37021
1168,-20.71,869.83,710,248980,350,0.6478711428571433,,,0.0001,0.009480567649006844,37244
1172,-20.71,870.38,713,249786,350,0.6467312285714288,,,0.0001,0.12213895469903946,37446
1176,-20.75,863.97,716,250548,349,0.6456535428571433,,,0.0001,0.010403024032711983,37636
1180,-20.76,861.3,719,251359,349,0.6445065571428568,,,0.0001,0.011119567789137363,37839
1184,-20.76,859.37,722,252149,349,0.6433892714285709,,,0.0001,0.15204741060733795,38037
1188,-20.77,856.15,725,252950,348,0.6422564285714287,,,0.0001,0.01661788672208786,38237
1192,-20.76,855.05,727,253746,348,0.6411306571428574,,,0.0001,0.007003125734627247,38436
1196,-20.73,856.94,731,254660,348,0.6398380000000004,,,0.0001,0.023821212351322174,38664
1200,-20.73,856.52,734,255480,347,0.6386782857142854,,,0.0001,0.11907338351011276,38869
1204,-20.74,856.21,737,256324,347,0.637484628571429,,,0.0001,0.005939013324677944,39080
1208,-20.72,855.53,740,257198,347,0.6362485428571432,,,0.0001,0.11991671472787857,39299
1212,-20.7,857.72,743,258111,346,0.6349572999999995,,,0.0001,0.0032688467763364315,39527
1216,-20.7,855.71,747,258923,346,0.6338088999999996,,,0.0001,0.11825011670589447,39730
1220,-20.7,856.98,750,259737,345,0.6326576714285713,,,0.0001,0.014101541601121426,39934
1224,-20.7,856.34,753,260569,345,0.6314809857142862,,,0.0001,0.006565936375409365,40142
1228,-20.71,854.68,756,261379,345,0.6303354142857143,,,0.0001,0.014932608231902122,40344
1232,-20.7,858.2,759,262254,345,0.6290979142857138,,,0.0001,0.012730099260807037,40563
1236,-20.7,857.24,762,263045,345,0.6279792142857147,,,0.0001,0.11593008041381836,40761
1240,-20.74,853.26,764,263813,344,0.6268930428571433,,,0.0001,0.007004842162132263,40953
1244,-20.72,855.81,768,264721,344,0.6256088714285719,,,0.0001,0.008902978152036667,41180
1248,-20.7,859.61,771,265623,344,0.6243331857142861,,,0.0001,0.11890385299921036,41405
1252,-20.69,858.71,774,266463,344,0.623145185714286,,,0.0001,0.021186189725995064,41615
1256,-20.68,858.11,777,267274,343,0.6219981999999995,,,0.0001,0.01623499020934105,41818
1260,-20.69,857.59,780,268062,343,0.6208837428571432,,,0.0001,0.011338120326399803,42015
1264,-20.71,856.36,783,268955,343,0.6196207857142858,,,0.0001,0.014588732272386551,42238
1268,-20.7,856.29,787,269840,342,0.6183691428571434,,,0.0001,0.00836324691772461,42459
1272,-20.69,857.86,790,270678,342,0.6171839714285714,,,0.0001,0.007817991077899933,42669
1276,-20.67,860.85,794,271508,341,0.6160101142857145,,,0.0001,0.003464051056653261,42876
1280,-20.67,861.87,796,272330,341,0.6148475714285713,,,0.0001,0.007967397570610046,43082
1284,-20.64,865.74,800,273235,341,0.6135676428571427,,,0.0001,0.022929228842258453,43308
1288,-20.64,866.47,803,274062,340,0.6123980285714286,,,0.0001,0.008063966408371925,43515
1292,-20.63,868.53,807,274912,340,0.6111958857142854,,,0.0001,0.01517238188534975,43727
1296,-20.65,866.49,810,275769,340,0.6099838428571429,,,0.0001,0.0166420117020607,43942
1300,-20.65,865.69,813,276567,339,0.6088552428571423,,,0.0001,0.023837700486183167,44141
1304,-20.65,864.43,816,277373,339,0.6077153285714292,,,0.0001,0.018395427614450455,44343
1308,-20.66,863.02,818,278208,339,0.6065343999999999,,,0.0001,0.023785583674907684,44551
1312,-20.67,860.13,822,279045,339,0.6053506428571427,,,0.0001,0.007386219222098589,44761
