rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,train/loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0.26,82.66,55644,688,1688,0.8678454999999999,32,0.016207443550229073,1410,0.0001,,
0.27,82.96,55979,692,1665,0.867049875,33,0.016295334324240685,1494,0.0001,,
0.29,83.14,56327,696,1644,0.8662233749999999,34,0.0009016700205393136,1581,0.0001,,
0.31,83.59,56670,700,1623,0.8654087500000001,34,0.00016874729772098362,1667,0.0001,,
0.29,83.36,56997,704,1605,0.8646321250000001,35,0.0001339955924777314,1749,0.0001,,
0.3,83.3,57300,708,1588,0.8639125000000003,36,0.033824533224105835,1824,0.0001,,
0.26,83.19,57616,712,1568,0.8631620000000002,36,0.01428016647696495,1903,0.0001,,
0.27,82.81,57909,716,1552,0.8624661250000001,37,0.0005690140533261001,1977,0.0001,,
0.24,82.55,58224,720,1536,0.8617179999999999,37,0.0008409158326685429,2055,0.0001,,
0.24,82.52,58568,724,1516,0.8609010000000001,38,0.0006126408115960658,2141,0.0001,,
0.2,82.25,58884,728,1499,0.8601505000000002,39,0.0005983119481243193,2220,0.0001,,
0.25,82.75,59242,732,1484,0.85930025,39,0.015380758792161942,2310,0.0001,,
0.25,82.54,59562,736,1468,0.8585402500000003,40,0.0011196675477549434,2390,0.0001,,
0.27,83.44,59939,740,1447,0.8576448750000001,41,0.0010897311149165034,2484,0.0001,,
0.29,83.62,60245,744,1431,0.8569181249999998,42,0.001232511829584837,2561,0.0001,,
0.33,83.68,60591,748,1416,0.8560963749999999,42,0.00033768225694075227,2647,0.0001,,
0.27,82.71,60877,752,1403,0.8554171249999999,43,0.00063477479852736,2719,0.0001,,
0.3,83.93,61300,756,1386,0.8544125000000002,44,0.0008469360182061791,2824,0.0001,,
0.3,83.94,61649,760,1372,0.8535836249999998,44,0.001051086699590087,2912,0.0001,,
0.35,84.37,62034,764,1358,0.8526692500000002,45,0.014949754811823368,3008,0.0001,,
0.33,84.06,62373,768,1346,0.851864125,46,0.0006107832305133343,3093,0.0001,,
0.37,83.83,62670,772,1337,0.85115875,46,0.024042777717113495,3167,0.0001,,
0.35,84.02,62997,776,1326,0.8503821250000001,47,0.02060268260538578,3249,0.0001,,
0.32,84.02,63298,780,1315,0.8496672499999998,48,0.013614123687148094,3324,0.0001,,
0.29,82.77,63563,784,1306,0.8490378749999999,48,0.0012632131110876799,3390,0.0001,,
0.29,82.88,63932,788,1294,0.8481614999999998,49,0.0008184285252355039,3482,0.0001,,
0.29,82.83,64262,792,1283,0.8473777499999999,50,0.0008074422366917133,3565,0.0001,,
0.28,82.94,64621,796,1270,0.8465251249999999,50,0.03343386575579643,3655,0.0001,,
0.26,83.12,64982,800,1256,0.8456677499999998,51,0.014772017486393452,3745,0.0001,,
0.26,83.1,65307,804,1245,0.844895875,52,0.0006549939280375838,3826,0.0001,,
0.29,83.94,65694,808,1232,0.8439767500000002,53,0.0007152198813855648,3923,0.0001,,
0.32,83.66,65982,812,1225,0.84329275,53,0.0007837701705284417,3995,0.0001,,
0.31,83.61,66270,816,1217,0.8426087499999999,54,0.010768582113087177,4067,0.0001,,
0.31,83.59,66583,820,1209,0.8418653749999998,55,0.005461501888930798,4145,0.0001,,
0.3,83.35,66903,824,1200,0.8411053750000002,55,0.001002012169919908,4225,0.0001,,
0.33,83.46,67230,828,1192,0.8403287500000003,56,0.04720988869667053,4307,0.0001,,
0.29,83.04,67546,832,1183,0.8395782499999997,57,0.0062355538830161095,4386,0.0001,,
0.29,82.8,67842,836,1176,0.8388752500000001,57,0.003145701950415969,4460,0.0001,,
0.27,82.43,68182,840,1167,0.8380677500000001,58,0.0076159220188856125,4545,0.0001,,
0.27,82.72,68517,844,1160,0.8372721250000001,59,0.01796887069940567,4629,0.0001,,
0.27,83.0,68891,848,1152,0.8363838749999999,59,0.019985396414995193,4722,0.0001,,
