rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
871.34,168,660,839,0.7994542857142857,141800,-20.73,,,10449,0.0001,0.004222444258630276
868.37,170,664,838,0.7983228571428569,142600,-20.74,,,10649,0.0001,0.0035591102205216885
868.44,171,668,836,0.7971348571428568,143440,-20.75,,,10859,0.0001,0.002590958494693041
869.83,172,672,835,0.7958252285714285,144366,-20.75,,,11091,0.0001,0.0271882563829422
869.21,174,676,833,0.7946131857142861,145223,-20.77,,,11305,0.0001,0.0020707580260932446
867.99,175,680,832,0.7934053857142854,146077,-20.79,,,11519,0.0001,0.00862722098827362
867.47,176,684,831,0.7922145571428572,146919,-20.77,,,11729,0.0001,0.015031823888421059
868.92,178,688,829,0.7909643285714283,147803,-20.77,,,11950,0.0001,0.005393739324063063
872.49,179,692,828,0.7897607714285715,148654,-20.76,,,12163,0.0001,0.0016085831448435783
874.2,180,696,826,0.7884780142857146,149561,-20.76,,,12390,0.0001,0.016178876161575317
873.41,182,700,825,0.7872956714285709,150397,-20.78,,,12599,0.0001,0.01905853860080242
871.54,183,704,824,0.7860949428571424,151246,-20.8,,,12811,0.0001,0.004542870447039604
870.09,184,708,822,0.7849818999999996,152033,-20.81,,,13008,0.0001,0.009848039597272873
873.26,186,712,821,0.7836637857142855,152965,-20.8,,,13241,0.0001,0.00647346954792738
877.08,187,716,820,0.7824276999999997,153839,-20.79,,,13459,0.0001,0.005479722749441862
877.99,188,720,818,0.7812085857142853,154701,-20.78,,,13675,0.0001,0.01740758679807186
878.73,190,724,817,0.7799682571428567,155578,-20.76,,,13894,0.0001,0.01328166201710701
882.58,191,728,816,0.7786968142857148,156477,-20.75,,,14119,0.0001,0.005685523152351379
885.5,193,732,815,0.7774508285714288,157358,-20.75,,,14339,0.0001,0.006005831062793732
884.24,194,736,813,0.7762048428571426,158239,-20.75,,,14559,0.0001,0.006378913298249245
883.41,195,740,812,0.7750861428571424,159030,-20.76,,,14757,0.0001,0.014795107766985893
883.49,197,744,811,0.7738840000000002,159880,-20.78,,,14969,0.0001,0.010179555043578148
880.73,198,748,810,0.7727200428571425,160703,-20.8,,,15175,0.0001,0.030529173091053963
882.51,199,752,809,0.7714839571428567,161577,-20.8,,,15394,0.0001,0.02090870775282383
883.74,200,756,808,0.7703284857142857,162394,-20.8,,,15598,0.0001,0.0055787404999136925
882.36,202,760,806,0.7690655285714283,163287,-20.77,,,15821,0.0001,0.0020636804401874542
884.83,203,764,805,0.7678464142857138,164149,-20.75,,,16037,0.0001,0.0034399577416479588
887.69,205,768,804,0.7665382000000001,165074,-20.74,,,16268,0.0001,0.020396137610077858
887.22,206,772,803,0.7652299857142852,165999,-20.76,,,16499,0.0001,0.0056236363016068935
889.31,208,776,802,0.7639429857142856,166909,-20.75,,,16727,0.0001,0.007079974748194218
887.78,209,780,801,0.7628044857142858,167714,-20.75,,,16928,0.0001,0.02018570527434349
889.0,210,784,800,0.7615627428571425,168592,-20.76,,,17147,0.0001,0.008050411939620972
887.5,211,788,799,0.7603761571428571,169431,-20.74,,,17357,0.0001,0.006440083030611277
891.71,213,792,798,0.7590325857142862,170381,-20.72,,,17595,0.0001,0.009752729907631874
891.19,214,796,797,0.7577583142857139,171282,-20.72,,,17820,0.0001,0.007711814250797033
894.45,216,800,796,0.7564642428571433,172197,-20.71,,,18049,0.0001,0.032273609191179276
897.51,217,804,795,0.7551546142857137,173123,-20.69,,,18280,0.0001,0.016324756667017937
899.01,218,808,794,0.753976514285714,173956,-20.69,,,18488,0.0001,0.012438627891242504
893.62,220,812,793,0.7528436714285717,174757,-20.7,,,18689,0.0001,0.008246324956417084
893.77,221,816,792,0.7515948571428575,175640,-20.69,,,18909,0.0001,0.012939020991325378
897.02,223,820,791,0.7502541142857146,176588,-20.69,,,19146,0.0001,0.0064169783145189285
897.39,224,824,790,0.7490038857142858,177472,-20.72,,,19367,0.0001,0.005978991277515888
896.5,225,828,789,0.7477847714285712,178334,-20.72,,,19583,0.0001,0.008609583601355553
895.09,227,832,788,0.7465882857142856,179180,-20.72,,,19794,0.0001,0.009710087440907955
897.96,228,836,787,0.7452348142857144,180137,-20.7,,,20034,0.0001,0.00780123844742775
901.65,230,840,787,0.743971857142857,181030,-20.7,,,20257,0.0001,0.007102797739207745
899.64,231,844,786,0.7428404285714282,181830,-20.7,,,20457,0.0001,0.008780176751315594
900.73,232,848,785,0.7416354571428568,182682,-20.67,,,20670,0.0001,0.016118202358484268
900.6,234,852,784,0.740410685714286,183548,-20.66,,,20886,0.0001,0.0080795306712389
902.77,235,856,783,0.7391802571428576,184418,-20.65,,,21104,0.0001,0.018552441149950027
902.82,236,860,782,0.7379229571428567,185307,-20.66,,,21326,0.0001,0.009501107037067413
906.25,238,864,781,0.7365864571428568,186252,-20.67,,,21562,0.0001,0.017962411046028137
903.85,239,868,780,0.7353673428571433,187114,-20.69,,,21778,0.0001,0.007814115844666958
903.82,241,872,779,0.7340647857142859,188035,-20.68,,,22008,0.0001,0.008883203379809856
904.01,242,876,779,0.7327707142857143,188950,-20.68,,,22237,0.0001,0.013154424726963043
905.64,243,880,778,0.7315699857142857,189799,-20.67,,,22449,0.0001,0.023120660334825516
903.5,245,884,777,0.7304088571428571,190620,-20.68,,,22654,0.0001,0.00336109334602952
904.57,246,888,776,0.7291727714285714,191494,-20.69,,,22873,0.0001,0.008451266214251518
897.18,247,892,775,0.7280795285714291,192267,-20.72,,,23066,0.0001,0.015573086217045784
895.03,249,896,774,0.7268830428571433,193113,-20.71,,,23278,0.0001,0.015559479594230652
893.09,250,900,774,0.7256512000000004,193984,-20.71,,,23495,0.0001,0.02272302471101284
892.58,252,904,773,0.7243726857142854,194888,-20.72,,,23721,0.0001,0.01426374539732933
899.37,253,908,772,0.7229499142857143,195894,-20.68,,,23973,0.0001,0.01849815621972084
901.6,254,912,771,0.7217364571428573,196752,-20.68,,,24187,0.0001,0.012465165928006172
898.69,256,916,770,0.7205838142857144,197567,-20.69,,,24391,0.0001,0.007742725312709808
897.23,257,920,770,0.7192982285714282,198476,-20.69,,,24618,0.0001,0.005535162054002285
897.72,259,924,769,0.7180154714285715,199383,-20.66,,,24845,0.0001,0.013369242660701275
,,,,0.7171442714285717,200000,,-20.95,784.35,24999,0.0001,0.009426476433873177
901.21,265,928,754,0.7166648285714284,200338,-20.64,,,25084,0.0001,0.01634661853313446
903.3,267,932,753,0.7153990428571428,201233,-20.63,,,25308,0.0001,0.014140178449451923
899.64,268,936,752,0.7141841714285713,202092,-20.65,,,25522,0.0001,0.009340031072497368
897.98,269,940,752,0.712967885714286,202952,-20.64,,,25737,0.0001,0.0067479428835213184
903.01,271,944,751,0.7116540142857148,203881,-20.62,,,25970,0.0001,0.010308556258678436
902.35,272,948,751,0.7104759142857139,204714,-20.64,,,26178,0.0001,0.004928887821733952
904.18,274,952,750,0.7091874999999996,205625,-20.64,,,26406,0.0001,0.014517915435135365
904.03,275,956,749,0.7079528285714285,206498,-20.64,,,26624,0.0001,0.01977516897022724
902.56,276,960,749,0.7067563428571428,207344,-20.65,,,26835,0.0001,0.022383587434887886
