time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/entropy_loss,train/explained_variance,eval/mean_reward,eval/mean_ep_length
14,2.46,1488,108.58,19,28672,-0.0006446351180784404,0.0347900390625,0.0053579467,0.09232756495475769,52,0.2,0.2346887979656458,0.00025,-1.2323748543858528,0.6915949583053589,,
15,2.44,1488,107.02,20,30720,-0.004032737604575232,0.053466796875,0.0067535858,0.08389793336391449,56,0.2,0.22528641484677792,0.00025,-1.194784790277481,0.6411169767379761,,
16,2.37,1489,105.22,22,32768,-0.0052491414826363325,0.1031494140625,0.012411074,0.10742838680744171,60,0.2,0.2687869854271412,0.00025,-1.1481883078813553,0.5995445847511292,,
17,2.34,1489,105.79,23,34816,-0.0015073011454660445,0.04443359375,0.0024266911,0.09655164182186127,64,0.2,0.247059291228652,0.00025,-1.248414821922779,0.6170865297317505,,
18,2.29,1490,105.2,24,36864,-0.0020375243038870394,0.0225830078125,0.009214891,0.11229483038187027,68,0.2,0.2650441899895668,0.00025,-1.2938441261649132,0.5854397416114807,,
19,2.28,1490,104.66,26,38912,-0.004057637619553134,0.081298828125,0.0054931445,0.09454832971096039,72,0.2,0.28117909748107195,0.00025,-1.2778738588094711,0.599535346031189,,
20,2.31,1491,105.69,27,40960,-0.0029851386207155883,0.0931396484375,0.01091837,0.08385847508907318,76,0.2,0.24413217138499022,0.00025,-1.2422940507531166,0.5972214341163635,,
21,2.33,1491,107.11,28,43008,-0.004083334584720433,0.0560302734375,0.012004407,0.07285510003566742,80,0.2,0.23612811882048845,0.00025,-1.192031815648079,0.5948193073272705,,
22,2.42,1491,107.72,30,45056,-0.0017371897993143648,0.0496826171875,0.0010058727,0.10435016453266144,84,0.2,0.2851141756400466,0.00025,-1.1851396337151527,0.6071545481681824,,
23,2.19,1492,105.2,31,47104,-0.006846357136964798,0.1136474609375,0.008454565,0.11189375072717667,88,0.2,0.3151997085660696,0.00025,-1.1191014349460602,0.5751585960388184,,
24,2.08,1492,103.77,32,49152,-0.0003919784794561565,0.0042724609375,0.004845405,0.10547785460948944,92,0.2,0.29060347750782967,0.00025,-1.1636917665600777,0.6393264532089233,,
25,2.22,1493,104.46,34,51200,-0.00048366421833634377,0.010009765625,0.001883913,0.1160552129149437,96,0.2,0.28162578865885735,0.00025,-1.1908509135246277,0.629479706287384,,
26,2.22,1493,103.74,35,53248,-0.0022732996148988605,0.046142578125,0.007005683,0.12000671774148941,100,0.2,0.2518338616937399,0.00025,-1.1156436875462532,0.6508450508117676,,
27,2.37,1494,105.88,37,55296,-0.00742996868211776,0.123046875,0.01418101,0.10495966672897339,104,0.2,0.2722753817215562,0.00025,-1.0215894877910614,0.6357423067092896,,
28,2.51,1494,106.72,38,57344,-0.0011803744710050523,0.0784912109375,0.008692457,0.16342829167842865,108,0.2,0.33857783675193787,0.00025,-1.0219601429998875,0.6157468557357788,,
29,2.6,1495,107.82,39,59392,-0.004379318270366639,0.1590576171875,0.008899858,0.13903184235095978,112,0.2,0.31447349302470684,0.00025,-0.9876440800726414,0.6150956153869629,,
30,2.56,1495,107.5,41,61440,-0.0024818918318487704,0.0299072265625,0.007263668,0.1314183920621872,116,0.2,0.29513314738869667,0.00025,-0.9688539542257786,0.5269972085952759,,
31,2.66,1495,108.07,42,63488,-0.0021450897329486907,0.0186767578125,0.007170597,0.12514831125736237,120,0.2,0.3113755751401186,0.00025,-0.9614453800022602,0.5637829303741455,,
32,2.67,1496,108.1,43,65536,-0.004258733213646337,0.08349609375,0.0022704282,0.17466717958450317,124,0.2,0.3417805712670088,0.00025,-0.9110665880143642,0.47727400064468384,,
33,2.7,1496,109.19,45,67584,0.00014728109817951918,0.0299072265625,0.0045948722,0.18792177736759186,128,0.2,0.43941111117601395,0.00025,-0.9203661009669304,0.33057665824890137,,
