rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
311.2,11913,421,862208,72,102.8,0.2,2.386514e-09,-0.001882315227703657,2758.8760986328125,0.0,1680,0.00025,1360.4853515625,0.22600269317626953,-5.520996637642384e-07,,
310.24,11914,422,864256,72,102.56,0.2,0.0013599554,-0.001872709981398657,3449.605972290039,0.001708984375,1684,0.00025,1576.99609375,0.24162030220031738,0.0003308953018859029,,
311.2,11915,423,866304,72,102.8,0.2,-2.910383e-10,-0.0007611890468979254,2827.9491577148438,0.0,1688,0.00025,1319.57080078125,0.24524575471878052,-9.698851499706507e-08,,
310.88,11915,424,868352,72,102.72,0.2,1.2136297e-08,-0.0012776547009707429,3195.237991333008,0.0,1692,0.00025,1576.389404296875,0.2308475375175476,-9.263167157769203e-07,,
312.48,11916,425,870400,73,103.12,0.2,1.7462298e-09,-0.0012103847948310431,2731.028289794922,0.0,1696,0.00025,1481.5369873046875,0.2786324620246887,4.551548045128584e-07,,
313.12,11917,426,872448,73,103.28,0.2,0.00037206087,-0.00048317041182599496,2901.8784942626953,0.0003662109375,1700,0.00025,1626.212890625,0.2307887077331543,-0.0002570929209468886,,
315.36,11917,427,874496,73,103.84,0.2,0.0,-0.00020920624501741258,2856.8382263183594,0.0,1704,0.00025,1262.9112548828125,0.2161814570426941,-5.672336556017399e-08,,
311.84,11918,428,876544,73,102.96,0.2,0.0,-0.00025236415831386694,3462.062042236328,0.0,1708,0.00025,2059.452392578125,0.2465772032737732,-2.618180587887764e-07,,
316.64,11919,429,878592,73,104.16,0.2,6.2573235e-09,-0.00014451324204856064,3123.2688903808594,0.0,1712,0.00025,1507.99365234375,0.2768213152885437,1.3329554349184036e-08,,
316.32,11920,430,880640,73,104.08,0.2,0.0,-0.000242189576056262,2783.443145751953,0.0,1716,0.00025,1373.44140625,0.24179589748382568,-5.116453394293785e-08,,
314.4,11920,431,882688,74,103.6,0.2,0.0,-0.00015238144533213926,2827.841033935547,0.0,1720,0.00025,1504.315185546875,0.22159963846206665,-3.1723175197839737e-09,,
314.4,11921,432,884736,74,103.6,0.2,-4.656613e-09,-0.00028022889091516845,3209.392349243164,0.0,1724,0.00025,1525.22314453125,0.2485564947128296,-1.9330764189362526e-07,,
313.76,11922,433,886784,74,103.44,0.2,2.5029294e-08,-0.000420742415371933,3044.4991912841797,0.0,1728,0.00025,1501.517333984375,0.2545344829559326,8.579809218645096e-08,,
311.52,11922,434,888832,74,102.88,0.2,2.2992026e-09,-0.00031733079413243104,2771.8036346435547,0.0,1732,0.00025,1415.0267333984375,0.2662554383277893,2.7299392968416214e-08,,
314.4,11923,435,890880,74,103.6,0.2,0.0,-0.00019908682224922813,2528.5260467529297,0.0,1736,0.00025,1479.1112060546875,0.22048330307006836,-3.285531420260668e-07,,
316.64,11924,436,892928,74,104.16,0.2,4.48199e-09,-0.0002479842014508904,3313.718307495117,0.0,1740,0.00025,1841.06494140625,0.2154596447944641,-1.2977398000657558e-07,,
311.52,11924,437,894976,75,102.88,0.2,-2.4738256e-09,-0.0005126746164023643,3053.6898345947266,0.0,1744,0.00025,1445.3963623046875,0.2777467370033264,-8.934875950217247e-08,,
312.48,11925,438,897024,75,103.12,0.2,6.5774657e-09,-0.00043893183647014666,2847.1873779296875,0.0,1748,0.00025,1534.9764404296875,0.2491748332977295,-1.6429112292826176e-07,,
312.16,11926,439,899072,75,103.04,0.2,0.0,-0.0003045243965971167,2627.344024658203,0.0,1752,0.00025,1243.3961181640625,0.21716439723968506,-2.401648089289665e-07,,
,,,900000,,,0.2,-9.109499e-09,-0.0002819410838128533,3030.059539794922,0.0,1756,0.00025,1386.91748046875,0.22599178552627563,-3.16067598760128e-08,100.0,300.0
309.92,11928,440,901120,75,102.48,,,,,,,,,,,,
310.56,11929,441,903168,75,102.64,0.2,2.8871e-08,-0.0003494448856145027,3339.2658081054688,0.0,1760,0.00025,1750.3760986328125,0.23844385147094727,-3.5595439840108156e-07,,
312.8,11930,442,905216,75,103.2,0.2,8.934876e-09,-0.0003474997138255276,2848.2667846679688,0.0,1764,0.00025,1441.462646484375,0.27641522884368896,1.6443664208054543e-07,,
311.84,11930,443,907264,76,102.96,0.2,2.415618e-09,-0.0003844655002467334,2940.776626586914,0.0,1768,0.00025,1465.241943359375,0.2325887680053711,2.8230715543031693e-09,,
309.6,11931,444,909312,76,102.4,0.2,0.0,-0.00044154659553896636,2812.280731201172,0.0,1772,0.00025,1534.630859375,0.23582535982131958,8.36735125631094e-08,,
308.32,11932,445,911360,76,102.08,0.2,6.8102963e-09,-0.0004154347434450756,3193.595413208008,0.0,1776,0.00025,1482.24609375,0.26988041400909424,-4.062894731760025e-07,,
309.28,11933,446,913408,76,102.32,0.2,4.831236e-09,-0.0005024601250624983,2605.460403442383,0.0,1780,0.00025,1209.535888671875,0.26577621698379517,1.0107760317623615e-07,,
310.56,11933,447,915456,76,102.64,0.2,0.0,-0.0004389168207126204,2636.5961303710938,0.0,1784,0.00025,1429.6473388671875,0.21702569723129272,-2.600718289613724e-07,,
311.52,11934,448,917504,76,102.88,0.2,2.575689e-08,-0.00041877230614773,3273.358444213867,0.0,1788,0.00025,1607.42724609375,0.21422934532165527,-2.1184678189456463e-07,,
311.2,11935,449,919552,77,102.8,0.2,4.4237822e-09,-0.00037419523687276524,2890.2012481689453,0.0,1792,0.00025,1356.017578125,0.2669178247451782,7.57281668484211e-08,,
312.16,11935,450,921600,77,103.04,0.2,0.0,-0.0004816376676899381,2982.5391693115234,0.0,1796,0.00025,1435.923095703125,0.2492724061012268,4.391768015921116e-08,,
312.16,11936,451,923648,77,103.04,0.2,0.0,-0.00041834942385321483,2676.6280212402344,0.0,1800,0.00025,1487.2945556640625,0.24164891242980957,-1.0046642273664474e-07,,
313.44,11937,452,925696,77,103.36,0.2,0.0,-0.00039661173832428176,2959.822036743164,0.0,1804,0.00025,1442.83056640625,0.217351496219635,3.6088749766349792e-09,,
315.04,11937,453,927744,77,103.76,0.2,0.0,-0.000429628433266771,2956.3966674804688,0.0,1808,0.00025,1423.8555908203125,0.24449580907821655,3.463355824351311e-08,,
319.52,11938,454,929792,77,104.88,0.2,-1.8248102e-08,-0.0002758558175628423,2799.577835083008,0.0,1812,0.00025,1573.693603515625,0.23021167516708374,-2.2992026060819626e-08,,
323.04,11939,455,931840,78,105.76,0.2,0.0,-0.0002585878055469948,3023.0103912353516,0.0,1816,0.00025,1443.856201171875,0.22093892097473145,5.1106326282024384e-08,,
325.6,11939,456,933888,78,106.4,0.2,1.1903467e-08,-0.00023131175748858368,2917.655776977539,0.0,1820,0.00025,1378.205078125,0.23286515474319458,2.939486876130104e-09,,
